year,title,region,chart_position,album
1974,"""Celebration""",NZ,,Mark Williams
1975,"""Yesterday Was Just the Beginning of My Life""",NZ,1.0,Mark Williams
1975,"""Sweet Wine""",NZ,7.0,Sweet Trials
1976,"""If It Rains""",NZ,25.0,Sweet Trials
1976,"""Taking It All in Stride""",NZ,14.0,Taking It All In Stride
1977,"""It Doesn't Matter Anymore""",NZ,1.0,Taking It All In Stride
1977,"""A House for Sale""",NZ,13.0,Taking It All In Stride
1978,"""Wanna Give You My Love""",NZ,,Life After Dark
1979,"""I Don't Want You Anymore""",NZ,,Life After Dark
1980,"""Throw Me a Line""",NZ,,Life After Dark
1985,"""Christmas is a Lucky Time""",NZ,,Non-album single
1986,"""Might Have Been""(with Jenny Morris and Wendy Matthews)",NZ,,Dancing Daze (soundtrack)
1988,"""K.1.W.1."" (with Malcolm McCallum)",NZ,,Non-album single
1989,"""Home and Away"" (as Mark Williams and Karen Boddington)",NZ,,Non-album single
1990,"""Show No Mercy""",NZ,9.0,Mark Williams ZNZ
1990,"""Fix of Love""",NZ,,Mark Williams ZNZ
1991,"""Spell Is Broken""",NZ,,Mark Williams ZNZ
1992,"""We Can Dream""",NZ,,Mind Over Matter
1992,"""Time After Time"" (as Mark Williams & Tara Morice)",NZ,18.0,Strictly Ballroom
1993,"""Slow Dance""",NZ,,Mind Over Matter
1993,"""I Can't Help You Anymore""",NZ,,Mind Over Matter
1993,"""Feel for the Night"" (German release)",NZ,,Mark Williams ZNZ
1974,"""Celebration""",AUS,,Mark Williams
1975,"""Yesterday Was Just the Beginning of My Life""",AUS,,Mark Williams
1975,"""Sweet Wine""",AUS,,Sweet Trials
1976,"""If It Rains""",AUS,,Sweet Trials
1976,"""Taking It All in Stride""",AUS,,Taking It All In Stride
1977,"""It Doesn't Matter Anymore""",AUS,,Taking It All In Stride
1977,"""A House for Sale""",AUS,,Taking It All In Stride
1978,"""Wanna Give You My Love""",AUS,,Life After Dark
1979,"""I Don't Want You Anymore""",AUS,,Life After Dark
1980,"""Throw Me a Line""",AUS,,Life After Dark
1985,"""Christmas is a Lucky Time""",AUS,,Non-album single
1986,"""Might Have Been""(with Jenny Morris and Wendy Matthews)",AUS,,Dancing Daze (soundtrack)
1988,"""K.1.W.1."" (with Malcolm McCallum)",AUS,,Non-album single
1989,"""Home and Away"" (as Mark Williams and Karen Boddington)",AUS,,Non-album single
1990,"""Show No Mercy""",AUS,8.0,Mark Williams ZNZ
1990,"""Fix of Love""",AUS,28.0,Mark Williams ZNZ
1991,"""Spell Is Broken""",AUS,,Mark Williams ZNZ
1992,"""We Can Dream""",AUS,95.0,Mind Over Matter
1992,"""Time After Time"" (as Mark Williams & Tara Morice)",AUS,82.0,Strictly Ballroom
1993,"""Slow Dance""",AUS,,Mind Over Matter
1993,"""I Can't Help You Anymore""",AUS,,Mind Over Matter
1993,"""Feel for the Night"" (German release)",AUS,,Mark Williams ZNZ
1974,"""Celebration""",UK,,Mark Williams
1975,"""Yesterday Was Just the Beginning of My Life""",UK,,Mark Williams
1975,"""Sweet Wine""",UK,,Sweet Trials
1976,"""If It Rains""",UK,,Sweet Trials
1976,"""Taking It All in Stride""",UK,,Taking It All In Stride
1977,"""It Doesn't Matter Anymore""",UK,,Taking It All In Stride
1977,"""A House for Sale""",UK,,Taking It All In Stride
1978,"""Wanna Give You My Love""",UK,,Life After Dark
1979,"""I Don't Want You Anymore""",UK,,Life After Dark
1980,"""Throw Me a Line""",UK,,Life After Dark
1985,"""Christmas is a Lucky Time""",UK,,Non-album single
1986,"""Might Have Been""(with Jenny Morris and Wendy Matthews)",UK,,Dancing Daze (soundtrack)
1988,"""K.1.W.1."" (with Malcolm McCallum)",UK,,Non-album single
1989,"""Home and Away"" (as Mark Williams and Karen Boddington)",UK,73.0,Non-album single
1990,"""Show No Mercy""",UK,,Mark Williams ZNZ
1990,"""Fix of Love""",UK,,Mark Williams ZNZ
1991,"""Spell Is Broken""",UK,,Mark Williams ZNZ
1992,"""We Can Dream""",UK,,Mind Over Matter
1992,"""Time After Time"" (as Mark Williams & Tara Morice)",UK,,Strictly Ballroom
1993,"""Slow Dance""",UK,,Mind Over Matter
1993,"""I Can't Help You Anymore""",UK,,Mind Over Matter
1993,"""Feel for the Night"" (German release)",UK,,Mark Williams ZNZ
