season,club,league,competition,metric,value
1995,Fukuoka Blux,Football League,League,Apps,29
1995,Fukuoka Blux,Football League,League,Goals,7
1995,Fukuoka Blux,Football League,Emperor's Cup,Apps,3
1995,Fukuoka Blux,Football League,Emperor's Cup,Goals,1
1995,Fukuoka Blux,Football League,League Cup,Apps,0
1995,Fukuoka Blux,Football League,League Cup,Goals,0
1996,Avispa Fukuoka,J1 League,League,Apps,9
1996,Avispa Fukuoka,J1 League,League,Goals,2
1996,Avispa Fukuoka,J1 League,Emperor's Cup,Apps,0
1996,Avispa Fukuoka,J1 League,Emperor's Cup,Goals,0
1996,Avispa Fukuoka,J1 League,League Cup,Apps,0
1996,Avispa Fukuoka,J1 League,League Cup,Goals,0
1997,Avispa Fukuoka,J1 League,League,Apps,16
1997,Avispa Fukuoka,J1 League,League,Goals,0
1997,Avispa Fukuoka,J1 League,Emperor's Cup,Apps,0
1997,Avispa Fukuoka,J1 League,Emperor's Cup,Goals,0
1997,Avispa Fukuoka,J1 League,League Cup,Apps,3
1997,Avispa Fukuoka,J1 League,League Cup,Goals,0
1998,Avispa Fukuoka,J1 League,League,Apps,0
1998,Avispa Fukuoka,J1 League,League,Goals,0
1998,Avispa Fukuoka,J1 League,Emperor's Cup,Apps,0
1998,Avispa Fukuoka,J1 League,Emperor's Cup,Goals,0
1998,Avispa Fukuoka,J1 League,League Cup,Apps,0
1998,Avispa Fukuoka,J1 League,League Cup,Goals,0
1998,Sanfrecce Hiroshima,J1 League,League,Apps,0
1998,Sanfrecce Hiroshima,J1 League,League,Goals,0
1998,Sanfrecce Hiroshima,J1 League,Emperor's Cup,Apps,0
1998,Sanfrecce Hiroshima,J1 League,Emperor's Cup,Goals,0
1998,Sanfrecce Hiroshima,J1 League,League Cup,Apps,0
1998,Sanfrecce Hiroshima,J1 League,League Cup,Goals,0
2000,Montedio Yamagata,J2 League,League,Apps,15
2000,Montedio Yamagata,J2 League,League,Goals,1
2000,Montedio Yamagata,J2 League,Emperor's Cup,Apps,1
2000,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2000,Montedio Yamagata,J2 League,League Cup,Apps,0
2000,Montedio Yamagata,J2 League,League Cup,Goals,0
2001,Montedio Yamagata,J2 League,League,Apps,37
2001,Montedio Yamagata,J2 League,League,Goals,0
2001,Montedio Yamagata,J2 League,Emperor's Cup,Apps,3
2001,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2001,Montedio Yamagata,J2 League,League Cup,Apps,1
2001,Montedio Yamagata,J2 League,League Cup,Goals,0
2002,Montedio Yamagata,J2 League,League,Apps,39
2002,Montedio Yamagata,J2 League,League,Goals,0
2002,Montedio Yamagata,J2 League,Emperor's Cup,Apps,1
2002,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2002,Montedio Yamagata,J2 League,League Cup,Apps,0
2002,Montedio Yamagata,J2 League,League Cup,Goals,0
2003,Montedio Yamagata,J2 League,League,Apps,42
2003,Montedio Yamagata,J2 League,League,Goals,1
2003,Montedio Yamagata,J2 League,Emperor's Cup,Apps,2
2003,Montedio Yamagata,J2 League,Emperor's Cup,Goals,0
2003,Montedio Yamagata,J2 League,League Cup,Apps,0
2003,Montedio Yamagata,J2 League,League Cup,Goals,0
2004,Montedio Yamagata,J2 League,League,Apps,38
2004,Montedio Yamagata,J2 League,League,Goals,2
2004,Montedio Yamagata,J2 League,Emperor's Cup,Apps,2
