club,season,competition,apps,goals
Club,Season,league,0,0
Club,Season,fa_cup,0,0
Club,Season,league_cup,0,0
Club,Season,other,0,0
Mansfield Town,1999–2000,league,4,0
Mansfield Town,1999–2000,fa_cup,0,0
Mansfield Town,1999–2000,league_cup,0,0
Mansfield Town,1999–2000,other,0,0
Mansfield Town,2000–01,league,14,0
Mansfield Town,2000–01,fa_cup,2,0
Mansfield Town,2000–01,league_cup,3,0
Mansfield Town,2000–01,other,1,0
Mansfield Town,2001–02,league,46,3
Mansfield Town,2001–02,fa_cup,3,0
Mansfield Town,2001–02,league_cup,1,0
Mansfield Town,2001–02,other,1,0
Mansfield Town,2002–03,league,40,0
Mansfield Town,2002–03,fa_cup,1,0
Mansfield Town,2002–03,league_cup,1,0
Mansfield Town,2002–03,other,1,0
Mansfield Town,2003–04,league,35,0
Mansfield Town,2003–04,fa_cup,3,0
Mansfield Town,2003–04,league_cup,1,0
Mansfield Town,2003–04,other,4,0
Mansfield Town,2004–05,league,4,0
Mansfield Town,2004–05,fa_cup,0,0
Mansfield Town,2004–05,league_cup,0,0
Mansfield Town,2004–05,other,0,0
Northampton Town,2004–05,league,38,0
Northampton Town,2004–05,fa_cup,2,1
Northampton Town,2004–05,league_cup,1,0
Northampton Town,2004–05,other,2,1
Rotherham United,2005–06,league,37,4
Rotherham United,2005–06,fa_cup,1,0
Rotherham United,2005–06,league_cup,2,0
Rotherham United,2005–06,other,0,0
Rotherham United,2006–07,league,19,5
Rotherham United,2006–07,fa_cup,1,0
Rotherham United,2006–07,league_cup,1,1
Rotherham United,2006–07,other,1,0
Watford,2006–07,league,5,0
Watford,2006–07,fa_cup,0,0
Watford,2006–07,league_cup,0,0
Watford,2006–07,other,0,0
Watford,2007–08,league,32,2
Watford,2007–08,fa_cup,1,0
Watford,2007–08,league_cup,0,0
Watford,2007–08,other,2,0
Watford,2008–09,league,34,2
Watford,2008–09,fa_cup,1,0
Watford,2008–09,league_cup,3,1
Watford,2008–09,other,0,0
Preston North End (loan),2008–09,league,5,1
Preston North End (loan),2008–09,fa_cup,0,0
Preston North End (loan),2008–09,league_cup,0,0
Preston North End (loan),2008–09,other,0,0
Sheffield United,2009–10,league,20,3
Sheffield United,2009–10,fa_cup,3,1
Sheffield United,2009–10,league_cup,0,0
Sheffield United,2009–10,other,0,0
Sheffield United,2010–11,league,16,3
Sheffield United,2010–11,fa_cup,1,0
Sheffield United,2010–11,league_cup,0,0
Sheffield United,2010–11,other,0,0
Sheffield United,2011–12,league,40,13
Sheffield United,2011–12,fa_cup,4,0
Sheffield United,2011–12,league_cup,2,0
Sheffield United,2011–12,other,3,0
Portsmouth,2012–13,league,22,0
Portsmouth,2012–13,fa_cup,0,0
Portsmouth,2012–13,league_cup,0,0
Portsmouth,2012–13,other,2,0
Blackburn Rovers,2012–13,league,8,0
Blackburn Rovers,2012–13,fa_cup,1,0
Blackburn Rovers,2012–13,league_cup,0,0
Blackburn Rovers,2012–13,other,0,0
Blackburn Rovers,2013–14,league,30,0
Blackburn Rovers,2013–14,fa_cup,2,0
Blackburn Rovers,2013–14,league_cup,0,0
Blackburn Rovers,2013–14,other,0,0
Blackburn Rovers,2014–15,league,34,0
Blackburn Rovers,2014–15,fa_cup,0,0
Blackburn Rovers,2014–15,league_cup,0,0
Blackburn Rovers,2014–15,other,0,0
Blackburn Rovers,2015–16,league,10,0
Blackburn Rovers,2015–16,fa_cup,0,0
Blackburn Rovers,2015–16,league_cup,1,0
Blackburn Rovers,2015–16,other,0,0
