year,award_scheme,award_category,recipient,outcome
2016,Laurence Olivier Awards,Best Actress in a Musical,Imelda Staunton,Won
2016,Laurence Olivier Awards,Best Supporting Actress in a Musical,Lara Pulver,Won
2016,Laurence Olivier Awards,Best Supporting Actor in a Musical,Peter Davison,Nominated
2016,Laurence Olivier Awards,Best Supporting Actor in a Musical,Dan Burton,Nominated
2016,Laurence Olivier Awards,Best Director,Jonathan Kent,Nominated
2016,Laurence Olivier Awards,Best Lighting Design,Mark Henderson,Won
2016,Laurence Olivier Awards,Best Theatre Choreographer,Stephen Mear,Nominated
2016,Theatre Awards UK,Best Musical Production,Best Musical Production,Won
2016,Theatre Awards UK,Best Performance in a Musical,Imelda Staunton,Won
2016,Evening Standard Award,Best Musical Performance,Imelda Staunton,Won
2016,Whatsonstage.com Awards,Best Musical Revival,Best Musical Revival,Won
2016,Whatsonstage.com Awards,Best Actress in a Musical,Imelda Staunton,Won
2016,Whatsonstage.com Awards,Best Supporting Actress in a Musical,Lara Pulver,Won
2016,Whatsonstage.com Awards,Best Supporting Actor in a Musical,Peter Davison,Nominated
2016,Whatsonstage.com Awards,Best Director,Jonathan Kent,Won
2016,Whatsonstage.com Awards,Best Choreographer,Stephen Mear,Nominated
2016,Whatsonstage.com Awards,Best Set Designer,Anthony Ward,Nominated
2016,Whatsonstage.com Awards,Best Lighting Designer,Mark Henderson,Nominated
