year,team,metric,value
1990,SEA,G,16.0
1991,SEA,G,16.0
1992,SEA,G,16.0
1993,SEA,G,16.0
1994,SEA,G,16.0
1995,SEA,G,16.0
1996,SEA,G,16.0
1997,SEA,G,8.0
1998,SEA,G,15.0
1999,SEA,G,16.0
2000,SEA,G,16.0
1990,SEA,GS,2.0
1991,SEA,GS,16.0
1992,SEA,GS,16.0
1993,SEA,GS,16.0
1994,SEA,GS,16.0
1995,SEA,GS,16.0
1996,SEA,GS,16.0
1997,SEA,GS,8.0
1998,SEA,GS,15.0
1999,SEA,GS,16.0
2000,SEA,GS,16.0
1990,SEA,Total,48.0
1991,SEA,Total,73.0
1992,SEA,Total,92.0
1993,SEA,Total,77.0
1994,SEA,Total,54.0
1995,SEA,Total,40.0
1996,SEA,Total,48.0
1997,SEA,Total,10.0
1998,SEA,Total,29.0
1999,SEA,Total,61.0
2000,SEA,Total,32.0
1990,SEA,Ast,0.0
1991,SEA,Ast,0.0
1992,SEA,Ast,0.0
1993,SEA,Ast,0.0
1994,SEA,Ast,16.0
1995,SEA,Ast,13.0
1996,SEA,Ast,19.0
1997,SEA,Ast,8.0
1998,SEA,Ast,13.0
1999,SEA,Ast,13.0
2000,SEA,Ast,18.0
1990,SEA,Sck,1.0
1991,SEA,Sck,6.5
1992,SEA,Sck,14.0
1993,SEA,Sck,6.5
1994,SEA,Sck,4.0
1995,SEA,Sck,6.5
1996,SEA,Sck,8.0
1997,SEA,Sck,2.0
1998,SEA,Sck,2.0
1999,SEA,Sck,6.5
2000,SEA,Sck,1.0
1990,SEA,Int,0.0
1991,SEA,Int,0.0
1992,SEA,Int,0.0
1993,SEA,Int,0.0
1994,SEA,Int,0.0
1995,SEA,Int,0.0
1996,SEA,Int,0.0
1997,SEA,Int,0.0
1998,SEA,Int,0.0
1999,SEA,Int,2.0
2000,SEA,Int,1.0
1990,SEA,Yds,0.0
1991,SEA,Yds,0.0
1992,SEA,Yds,0.0
1993,SEA,Yds,0.0
1994,SEA,Yds,0.0
1995,SEA,Yds,0.0
1996,SEA,Yds,0.0
1997,SEA,Yds,0.0
1998,SEA,Yds,0.0
1999,SEA,Yds,12.0
2000,SEA,Yds,14.0
1990,SEA,Avg,0.0
1991,SEA,Avg,0.0
1992,SEA,Avg,0.0
1993,SEA,Avg,0.0
1994,SEA,Avg,0.0
1995,SEA,Avg,0.0
1996,SEA,Avg,0.0
1997,SEA,Avg,0.0
1998,SEA,Avg,0.0
1999,SEA,Avg,2.0
2000,SEA,Avg,14.0
1990,SEA,Lng,0.0
1991,SEA,Lng,0.0
1992,SEA,Lng,0.0
1993,SEA,Lng,0.0
1994,SEA,Lng,0.0
1995,SEA,Lng,0.0
1996,SEA,Lng,0.0
1997,SEA,Lng,0.0
1998,SEA,Lng,0.0
1999,SEA,Lng,7.0
2000,SEA,Lng,14.0
1990,SEA,TD,0.0
1991,SEA,TD,0.0
1992,SEA,TD,0.0
1993,SEA,TD,0.0
1994,SEA,TD,0.0
1995,SEA,TD,0.0
1996,SEA,TD,0.0
1997,SEA,TD,0.0
1998,SEA,TD,0.0
1999,SEA,TD,0.0
2000,SEA,TD,0.0
1990,SEA,PD,0.0
1991,SEA,PD,0.0
1992,SEA,PD,0.0
1993,SEA,PD,0.0
1994,SEA,PD,0.0
1995,SEA,PD,0.0
1996,SEA,PD,0.0
1997,SEA,PD,0.0
1998,SEA,PD,0.0
1999,SEA,PD,0.0
2000,SEA,PD,0.0
1990,SEA,FF,1.0
1991,SEA,FF,1.0
1992,SEA,FF,4.0
1993,SEA,FF,1.0
1994,SEA,FF,0.0
1995,SEA,FF,1.0
1996,SEA,FF,1.0
1997,SEA,FF,0.0
1998,SEA,FF,0.0
1999,SEA,FF,2.0
2000,SEA,FF,0.0
1990,SEA,FR,1.0
1991,SEA,FR,1.0
1992,SEA,FR,1.0
1993,SEA,FR,1.0
1994,SEA,FR,1.0
1995,SEA,FR,0.0
1996,SEA,FR,0.0
1997,SEA,FR,0.0
1998,SEA,FR,1.0
1999,SEA,FR,0.0
2000,SEA,FR,0.0
1990,SEA,Yds,0.0
1991,SEA,Yds,0.0
1992,SEA,Yds,19.0
1993,SEA,Yds,0.0
1994,SEA,Yds,0.0
1995,SEA,Yds,0.0
1996,SEA,Yds,0.0
1997,SEA,Yds,0.0
1998,SEA,Yds,39.0
1999,SEA,Yds,0.0
2000,SEA,Yds,0.0
