year,single,region,chart_position
1989,Mainstream,AUS,97
1991,Treaty (Filthy Lucre Remix),AUS,11
1992,Djäpana (Sunset Dreaming),AUS,13
1992,Tribal Voice,AUS,51
1993,World Turning (Räwak Mix),AUS,56
1994,Timeless Land,AUS,148
1996,Superhighway,AUS,—
1998,"Tribal Voice"" (with Peter Maffay)",AUS,—
2000,Community Life,AUS,99
2000,Treaty (Dario G & Peace Division Remixes),AUS,—
1989,Mainstream,BEL (FL),—
1991,Treaty (Filthy Lucre Remix),BEL (FL),9
1992,Djäpana (Sunset Dreaming),BEL (FL),—
1992,Tribal Voice,BEL (FL),—
1993,World Turning (Räwak Mix),BEL (FL),—
1994,Timeless Land,BEL (FL),—
1996,Superhighway,BEL (FL),—
1998,"Tribal Voice"" (with Peter Maffay)",BEL (FL),—
2000,Community Life,BEL (FL),—
2000,Treaty (Dario G & Peace Division Remixes),BEL (FL),—
1989,Mainstream,GER,—
1991,Treaty (Filthy Lucre Remix),GER,—
1992,Djäpana (Sunset Dreaming),GER,—
1992,Tribal Voice,GER,—
1993,World Turning (Räwak Mix),GER,—
1994,Timeless Land,GER,—
1996,Superhighway,GER,—
1998,"Tribal Voice"" (with Peter Maffay)",GER,44
2000,Community Life,GER,—
2000,Treaty (Dario G & Peace Division Remixes),GER,—
1989,Mainstream,NL,—
1991,Treaty (Filthy Lucre Remix),NL,29
1992,Djäpana (Sunset Dreaming),NL,—
1992,Tribal Voice,NL,—
1993,World Turning (Räwak Mix),NL,—
1994,Timeless Land,NL,—
1996,Superhighway,NL,—
1998,"Tribal Voice"" (with Peter Maffay)",NL,—
2000,Community Life,NL,—
2000,Treaty (Dario G & Peace Division Remixes),NL,—
1989,Mainstream,SWI,—
1991,Treaty (Filthy Lucre Remix),SWI,33
1992,Djäpana (Sunset Dreaming),SWI,—
1992,Tribal Voice,SWI,—
1993,World Turning (Räwak Mix),SWI,—
1994,Timeless Land,SWI,—
1996,Superhighway,SWI,—
1998,"Tribal Voice"" (with Peter Maffay)",SWI,—
2000,Community Life,SWI,—
2000,Treaty (Dario G & Peace Division Remixes),SWI,—
1989,Mainstream,UK,—
1991,Treaty (Filthy Lucre Remix),UK,72
1992,Djäpana (Sunset Dreaming),UK,—
1992,Tribal Voice,UK,—
1993,World Turning (Räwak Mix),UK,—
1994,Timeless Land,UK,—
1996,Superhighway,UK,—
1998,"Tribal Voice"" (with Peter Maffay)",UK,—
2000,Community Life,UK,—
2000,Treaty (Dario G & Peace Division Remixes),UK,96
1989,Mainstream,US Dance,—
1991,Treaty (Filthy Lucre Remix),US Dance,6
1992,Djäpana (Sunset Dreaming),US Dance,27
1992,Tribal Voice,US Dance,—
1993,World Turning (Räwak Mix),US Dance,—
1994,Timeless Land,US Dance,—
1996,Superhighway,US Dance,—
1998,"Tribal Voice"" (with Peter Maffay)",US Dance,—
2000,Community Life,US Dance,—
2000,Treaty (Dario G & Peace Division Remixes),US Dance,—
