party,election_type,seats,votes,vote_share_pct
National Resistance Movement,directly_elected,141,-,
National Resistance Movement,indirectly_elected,58,-,
National Resistance Movement,appointed,14,-,
Forum for Democratic Change,directly_elected,27,-,
Forum for Democratic Change,indirectly_elected,10,-,
Forum for Democratic Change,appointed,0,-,
Uganda People's Congress,directly_elected,9,-,
Uganda People's Congress,indirectly_elected,0,-,
Uganda People's Congress,appointed,0,-,
Democratic Party,directly_elected,8,-,
Democratic Party,indirectly_elected,0,-,
Democratic Party,appointed,0,-,
Conservative Party,directly_elected,1,-,
Conservative Party,indirectly_elected,0,-,
Conservative Party,appointed,0,-,
Justice Forum,directly_elected,1,-,
Justice Forum,indirectly_elected,0,-,
Justice Forum,appointed,0,-,
Independents,directly_elected,28,-,
Independents,indirectly_elected,11,-,
Independents,appointed,1,-,
Uganda People's Defence Force Representatives,directly_elected,0,-,
Uganda People's Defence Force Representatives,indirectly_elected,0,-,
Uganda People's Defence Force Representatives,appointed,10,-,
