sequence_number,name,role_qualifier,start_date,end_date
2,General K. V. Krishna Rao,additional charge,1 May 1989,20 July 1989
3,Capt W.A. Sangma,,21 July 1989,7 February 1990
4,Swaraj Kaushal,,8 February 1990,9 February 1993
5,P.R.Kyndiah,,10 February 1993,28 January 1998
6,Dr A.P.Mukherjee,,29 January 1998,1 May 1998
7,A. Padmanabhan,,2 May 1998,30 November 2000
8,Ved Marwah,additional charge,1 December 2000,17 May 2001
9,Amolak Rattan Kohli,,18 May 2001,24 July 2006
10,Lt. Gen,Retd,25 July 2006,2 September 2011
11,Vakkom Purushothaman,,2 September 2011,6 July 2014
12,Kamla Beniwal,,6 July 2014,6 August 2014
13,Vinod Kumar Duggal,additional charge,8 August 2014,16 September 2014
14,K. K. Paul,Addl with Meghalaya,16 September 2014,8 January 2015
15,Aziz Qureshi,,9 January 2015,28 March 2015
16,Keshari Nath Tripathi,additional charge,4 April 2015,25 May 2015
17,Lt General,Retd,26 May 2015,28 May 2018
18,Kummanam Rajasekharan,,29 May 2018,8 March 2019
19,Jagdish Mukhi,additional charge,9 March 2019,Incumbent
