tournament,year,result
Australian Open,2006,A
French Open,2006,Q1
Wimbledon,2006,1R
US Open,2006,Q3
Australian Open,2007,Q3
French Open,2007,1R
Wimbledon,2007,1R
US Open,2007,1R
Australian Open,2008,2R
French Open,2008,Q1
Wimbledon,2008,Q2
US Open,2008,1R
Australian Open,2009,1R
French Open,2009,3R
Wimbledon,2009,2R
US Open,2009,3R
Australian Open,2010,2R
French Open,2010,QF
Wimbledon,2010,2R
US Open,2010,1R
Australian Open,2011,A
French Open,2011,1R
Wimbledon,2011,1R
US Open,2011,Q1
Australian Open,2012,Q1
French Open,2012,QF
Wimbledon,2012,4R
US Open,2012,2R
Australian Open,2013,1R
French Open,2013,2R
Wimbledon,2013,2R
US Open,2013,3R
Australian Open,2014,1R
French Open,2014,2R
Wimbledon,2014,4R
US Open,2014,1R
Australian Open,2015,3R
French Open,2015,1R
Wimbledon,2015,1R
US Open,2015,Q3
Australian Open,2016,2R
French Open,2016,1R
Wimbledon,2016,QF
US Open,2016,4R
Australian Open,2017,1R
French Open,2017,1R
Wimbledon,2017,A
US Open,2017,A
