year,competition_name,host_city_country,placement,discipline,performance,notation
2010,World Junior Championships,Canada Moncton,21st (q),High jump,2.10 m,-
2011,European Junior Championships,Estonia Tallinn,3rd,High jump,2.25 m,PB =
2012,European Championships,Finland Helsinki,5th,High jump,2.24 m,-
2012,Olympic Games,United Kingdom London,21st (q),High jump,2.21 m,-
2013,European Indoor Championships,Sweden Göteborg,5th,High jump,2.29 m,-
2013,European U23 Championships,Finland Tampere,13th (q),High jump,2.17 m,-
2014,European Championships,Switzerland Zurich,7th,High jump,2.26 m,SB
2015,European Indoor Championships,Czech Republic Prague,7th,High jump,2.24 m,-
2015,World Championships,China Beijing,8th,High jump,2.25 m,-
2016,World Indoor Championships,United States Portland,1st,High jump,2.36 m,-
2016,European Championships,Netherlands Amsterdam,1st,High jump,2.32 m,-
2017,World Championships,United Kingdom London,13th (q),High jump,2.29 m,SB
2019,European Indoor Championships,United Kingdom Glasgow,1st,High jump,2.32 m,SB =
