year,representation_context,event,venue,place,event_type,time,achievement_code,count
2015,,USA Junior Championships,"Eugene, Oregon (Hayward Field)",2nd,200 m,20.24,PB,1
2016,,USA Junior Championships,"Clovis, California (Veterans Memorial Stadium)",1st,200 m,20.15,CR,1
2016,,USA Junior Championships,"Clovis, California (Veterans Memorial Stadium)",1st,200 m,20.15,PB,1
2016,,U.S. Olympic Trials,"Eugene, Oregon (Hayward Field)",5th,200 m,20.14,PB,1
2017,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",4th,400 m,44.88,PB,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,400 m,44.52,WR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,400 m,44.52,CR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,400 m,44.52,NCAAR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,400 m,44.52,FR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,400 m,44.52,PB,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,4×400 m relay,3:00.77,WB,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,4×400 m relay,3:00.77,CR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,4×400 m relay,3:00.77,NCAAR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,4×400 m relay,3:00.77,FR,1
2018,Representing the USC Trojans,NCAA Division I Indoor Championships,"College Station, Texas (Gilliam Indoor Track Stadium)",1st,4×400 m relay,3:00.77,SB,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,400 m,43.61,WL,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,400 m,43.61,CR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,400 m,43.61,NCAAR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,400 m,43.61,FR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,400 m,43.61,PB,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,4×400 m relay,2:59.00,CR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,4×400 m relay,2:59.00,NCAAR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,4×400 m relay,2:59.00,FR,1
2018,Representing the USC Trojans,NCAA Division I Championships,"Eugene, Oregon (Hayward Field)",1st,4×400 m relay,2:59.00,SB,1
2018,Representing the USC Trojans,USA Championships,"Des Moines, Iowa (Drake Stadium)",8th,200 m,20.35,Q,1
