year,team,era,wins,losses,ties,finish
1947,Boise JC,unknown,9.0,0.0,,1st
1948,Boise JC,unknown,9.0,0.0,,1st
1949,Boise JC,unknown,10.0,0.0,,1st
1950,Boise JC,unknown,9.0,1.0,,1st
1952,Boise JC,unknown,8.0,1.0,,1st
1953,Boise JC,unknown,8.0,1.0,,1st
1954,Boise JC,unknown,9.0,1.0,1.0,1st
1955,Boise JC,unknown,7.0,2.0,,-
1956,Boise JC,unknown,8.0,0.0,1.0,1st
1957,Boise JC,unknown,9.0,1.0,,1st
1958,Boise JC,unknown,10.0,0.0,,1st
1959,Boise JC,unknown,7.0,2.0,1.0,-
1960,Boise JC,unknown,8.0,2.0,,-
1961,Boise JC,unknown,9.0,1.0,,1st
1962,Boise JC,unknown,5.0,2.0,2.0,-
1963,Boise JC,unknown,5.0,3.0,1.0,-
1964,Boise JC,unknown,8.0,2.0,,-
1965,Boise JC,unknown,9.0,2.0,,1st
1966,Boise JC,unknown,9.0,1.0,,1st
1967,Boise JC,unknown,6.0,4.0,,-
