khan_title_cn,khan_title_en,ruler_name_en,ruler_name_cn,start_year,end_year,reign_ordinal,reign_duration_years
خان‬,Khan,Mäxmüd of Kazan,محمود ابن الغ محمد‬,1445,1466,,22
خان‬,Khan,Xälil of Kazan,خلیل ابن محمود‬,1466,1467,,2
خان‬,Khan,Ibrahim of Kazan,ابراہیم ابن محمود‬,1467,1479,,13
خان‬,Khan,Ilham Ghali of Kazan,علی ابن ابراہیم‬,1479,1484,1st reign,6
خان‬,Khan,Möxämmädämin of Kazan,محمد امین ابن ابراہیم‬,1484,1485,1st reign,2
خان‬,Khan,Ilham Ghali of Kazan,علی ابن ابراہیم‬,1485,1487,2nd reign,3
خان‬,Khan,Möxämmädämin of Kazan,محمد امین ابن ابراہیم‬,1487,1495,2nd reign,9
خان‬,Khan,Mamuq of Kazan ?‬,,1495,1496,,2
خان‬,Khan,Ghabdellatif of Kazan,عبد اللطیف ابن ابراہیم‬,1496,1502,,7
خان‬,Khan,Möxämmädämin of Kazan,محمد امین ابن ابراہیم‬,1502,1518,3rd reign,17
خان‬,Khan,Shahghali,شاہ علی ابن شیخ اللہ یار‬,1518,1521,1st reign,4
خان‬,Khan,Sahib I Giray,صاحب غرائی‬,1521,1525,,5
خان‬,Khan,Safa Giray of Kazan,صفا غرائی‬,1525,1532,1st reign,8
خان‬,Khan,Canghali of Kazan,جان علی ابن شیخ اللہ یار ‬,1532,1535,,4
خان‬,Khan,Safa Giray of Kazan,صفا غرائی‬,1535,1546,2nd reign,12
خان‬,Khan,Shahghali,شاہ علی ابن شیخ اللہ یار‬,1546,1546,2nd reign,1
خان‬,Khan,Safa Giray of Kazan,صفا غرائی‬,1546,1549,3rd reign,4
خان‬,Khan,Utameshgaray of Kazan,عتمش غرائی‬ Utemish being a minor the actual ruler was his mother Söyembikä who acted as regent,1549,1551,,3
خان‬,Khan,Shahghali,شاہ علی ابن شیخ اللہ یار‬,1551,1552,3rd reign,2
خان‬,Khan,Yadegar Mokhammad of Kazan,یاد گار محمد‬,1552,1552,,1
