year,song_title,artist,record_label,director_role
2010,"""Milkshakes and Razorblades""",illScarlett (ft. Kardinal Offishall),Sony Music,"Director, post-production"
2010,"""Broken Hearted Beat""",Tim Chaisson,-,Director
2010,"""Slippin' Away""",Tim Chaisson,-,Director
2010,"""Living in a Dream""",Finger Eleven,-,Director
2011,"""Lost the War""",Paper Lions,-,Director
2011,"""The Stand""",Mother Mother,-,Director
2011,"""Broken Hearted Beat""",Tim Chaisson,-,Director
2012,"""The Noise""",Adaline,Light Organ,Director
2012,"""Too Cold""",Current Swell,Nettwerk Records,Director
2012,"""Easy To Love""",Theory Of A Deadman,Roadrunner,Director
2012,"""On The Radio""",Rikers,Warner Music,Director
2012,"""Colour Blind""",Small Town Pistols,Warner Music,Director
2012,"""Dedicated To You""",Johnny Reid,Universal Canada,Director
2012,"""Beautiful""",Jessica Lee,604 Records,Director
2012,"""Curiosity""",Carly Rae Jepsen,Interscope,2nd Unit Director
2012,"""Colour Blind""",Small Town Pistols,-,Director
2012,"""Michigan Left""",Arkells,Universal Canada,Director
2012,"""Heatwave""",The New Cities,-,Director
2013,"""I Wake Up Every Day""",Thomas D'Arcy,Maple Music,"Director, editor"
2014,"""Anything""",Hedley,-,Director
