column_0,column_1,column_2,column_3,column_4,column_5
Grane,Grane,Grane Church,1860,,-
Grane,Grane,Majavatn Church,Majavatn,1915.0,-
Hattfjelldal,Hattfjelldal,Hattfjelldal Church,Hattfjelldal,1790.0,-
Hattfjelldal,Hattfjelldal,Susendal Church,Svenskvollen,1916.0,-
Hattfjelldal,Hattfjelldal,Varntresk Church,Varntresk,1986.0,-
Hemnes,Bleikvassli,Bleikvassli Church,Bleikvasslia,1955.0,Bleikvassli kirke.JPG
Hemnes,Hemnes Church,Hemnesberget,1872,,-
Hemnes,Korgen,Korgen Church,Korgen,1863.0,Korgen church A.JPG
Rana,Gruben,Gruben Church,Mo i Rana,1965.0,Church of Gruben01.JPG
Rana,Mo,Mo Church,Mo i Rana,1724.0,-
Rana,Nevernes,Nevernes Church,Nevernes,1893.0,Nevernes church 09.JPG
Rana,Nord Rana,Selfors Church,Selfors,1973.0,Selfors church02.JPG
Rana,Nord Rana,Ytteren Church,Ytteren,1977.0,Ytteren church10.JPG
Rana,Røssvoll,Røssvoll Church,Røssvoll,1953.0,-
Rana,Sjona,Sjona Church,Myklebustad,1916.0,Sjona church A.JPG
Vefsn,Dolstad,Dolstad Church,Mosjøen,1735.0,Dolstad k3.JPG
Vefsn,Drevja,Drevja Church,Drevja,1883.0,Drevja kirke.JPG
Vefsn,Elsfjord,Elsfjord Church,Elsfjord,1955.0,Elsfjord church A.JPG
