party,candidate,vote_count,vote_share_pct,electorate_share_pct,section
BJD,Mangala Kisan,54596,34.19,,
INC,Gregory Minz,44560,27.91,,
BJP,Upendra Pradhan,28694,17.97,,
Independent,Bikram Toppo,12091,7.57,,
JMM,Dhaneswar Xalxo,7829,4.9,,
BSP,Anmol Kindo,2706,1.69,,
AOP,Mohanlal Kishan,1652,1.03,,
AAP,Pramod Ekka,1341,0.84,,
Independent,Marcel Kindo,862,0.54,,
Independent,Clement Lakra,781,0.49,,
KOKD,Philman Toppo,777,0.49,,
Independent,Rajendra Kumar Lakra,769,0.48,,
OJM,Augustine Minz,755,0.47,,
JDP,Rubsen Horo,650,0.41,,
SKD,Lawrence Kerketta,507,0.32,,
NOTA,None of the above,1105,0.69,,
