season,team,game_type,play_type,stat_name,stat_value
2001,IND,Regular season,general,gp,13
2001,IND,Regular season,general,gs,9
2001,IND,Regular season,receiving,rec,27
2001,IND,Regular season,receiving,yds,345
2001,IND,Regular season,receiving,avg,12.8
2001,IND,Regular season,receiving,lng,43
2001,IND,Regular season,receiving,td,0
2001,IND,Regular season,rushing,att,–
2001,IND,Regular season,rushing,yds,–
2001,IND,Regular season,rushing,avg,–
2001,IND,Regular season,rushing,lng,–
2001,IND,Regular season,rushing,td,–
2001,IND,Regular season,fumbles,fum,–
2001,IND,Regular season,fumbles,lost,–
2002,IND,Regular season,general,gp,16
2002,IND,Regular season,general,gs,7
2002,IND,Regular season,receiving,rec,49
2002,IND,Regular season,receiving,yds,716
2002,IND,Regular season,receiving,avg,14.6
2002,IND,Regular season,receiving,lng,49
2002,IND,Regular season,receiving,td,4
2002,IND,Regular season,rushing,att,–
2002,IND,Regular season,rushing,yds,–
2002,IND,Regular season,rushing,avg,–
2002,IND,Regular season,rushing,lng,–
2002,IND,Regular season,rushing,td,–
2002,IND,Regular season,fumbles,fum,2
2002,IND,Regular season,fumbles,lost,1
2003,IND,Regular season,general,gp,16
2003,IND,Regular season,general,gs,16
2003,IND,Regular season,receiving,rec,68
2003,IND,Regular season,receiving,yds,838
2003,IND,Regular season,receiving,avg,12.3
2003,IND,Regular season,receiving,lng,57T
2003,IND,Regular season,receiving,td,7
2003,IND,Regular season,rushing,att,–
2003,IND,Regular season,rushing,yds,–
2003,IND,Regular season,rushing,avg,–
2003,IND,Regular season,rushing,lng,–
2003,IND,Regular season,rushing,td,–
2003,IND,Regular season,fumbles,fum,–
2003,IND,Regular season,fumbles,lost,–
2004,IND,Regular season,general,gp,16
2004,IND,Regular season,general,gs,16
2004,IND,Regular season,receiving,rec,77
2004,IND,Regular season,receiving,yds,"1,210"
2004,IND,Regular season,receiving,avg,15.7
2004,IND,Regular season,receiving,lng,71T
2004,IND,Regular season,receiving,td,12
2004,IND,Regular season,rushing,att,1
2004,IND,Regular season,rushing,yds,4
2004,IND,Regular season,rushing,avg,4.0
2004,IND,Regular season,rushing,lng,4
2004,IND,Regular season,rushing,td,0
2004,IND,Regular season,fumbles,fum,-
2004,IND,Regular season,fumbles,lost,-
2005,IND,Regular season,general,gp,16
2005,IND,Regular season,general,gs,16
2005,IND,Regular season,receiving,rec,83
2005,IND,Regular season,receiving,yds,"1,055"
2005,IND,Regular season,receiving,avg,12.7
2005,IND,Regular season,receiving,lng,66T
2005,IND,Regular season,receiving,td,5
2005,IND,Regular season,rushing,att,–
2005,IND,Regular season,rushing,yds,–
2005,IND,Regular season,rushing,avg,–
2005,IND,Regular season,rushing,lng,–
2005,IND,Regular season,rushing,td,–
2005,IND,Regular season,fumbles,fum,1
2005,IND,Regular season,fumbles,lost,0
2006,IND,Regular season,general,gp,16
2006,IND,Regular season,general,gs,16
2006,IND,Regular season,receiving,rec,86
2006,IND,Regular season,receiving,yds,"1,310"
2006,IND,Regular season,receiving,avg,15.2
2006,IND,Regular season,receiving,lng,51T
2006,IND,Regular season,receiving,td,9
2006,IND,Regular season,rushing,att,–
2006,IND,Regular season,rushing,yds,–
2006,IND,Regular season,rushing,avg,–
2006,IND,Regular season,rushing,lng,–
2006,IND,Regular season,rushing,td,–
2006,IND,Regular season,fumbles,fum,1
2006,IND,Regular season,fumbles,lost,0
2007,IND,Regular season,general,gp,16
2007,IND,Regular season,general,gs,16
2007,IND,Regular season,receiving,rec,104
2007,IND,Regular season,receiving,yds,"1,510"
2007,IND,Regular season,receiving,avg,14.5
2007,IND,Regular season,receiving,lng,64
2007,IND,Regular season,receiving,td,10
2007,IND,Regular season,rushing,att,1
2007,IND,Regular season,rushing,yds,4
2007,IND,Regular season,rushing,avg,4.0
2007,IND,Regular season,rushing,lng,4
2007,IND,Regular season,rushing,td,0
2007,IND,Regular season,fumbles,fum,3
2007,IND,Regular season,fumbles,lost,3
2008,IND,Regular season,general,gp,16
2008,IND,Regular season,general,gs,16
2008,IND,Regular season,receiving,rec,82
2008,IND,Regular season,receiving,yds,"1,145"
