pcie_version,introduced_year,line_code,transfer_rate,lane_width,throughput
1.0,2003,8b/10b,2.5 GT/s,1,250 MB/s
2.0,2007,8b/10b,5.0 GT/s,1,500 MB/s
3.0,2010,128b/130b,8.0 GT/s,1,984.6 MB/s
4.0,2017,128b/130b,16.0 GT/s,1,1969 MB/s
5.0,expected in Q1 2019,128b/130b,32.0 GT/s,1,3938 MB/s
1.0,2003,8b/10b,2.5 GT/s,2,0.50 GB/s
2.0,2007,8b/10b,5.0 GT/s,2,1.0 GB/s
3.0,2010,128b/130b,8.0 GT/s,2,1.97 GB/s
4.0,2017,128b/130b,16.0 GT/s,2,3.94 GB/s
5.0,expected in Q1 2019,128b/130b,32.0 GT/s,2,7.88 GB/s
1.0,2003,8b/10b,2.5 GT/s,4,1.0 GB/s
2.0,2007,8b/10b,5.0 GT/s,4,2.0 GB/s
3.0,2010,128b/130b,8.0 GT/s,4,3.94 GB/s
4.0,2017,128b/130b,16.0 GT/s,4,7.88 GB/s
5.0,expected in Q1 2019,128b/130b,32.0 GT/s,4,15.75 GB/s
1.0,2003,8b/10b,2.5 GT/s,8,2.0 GB/s
2.0,2007,8b/10b,5.0 GT/s,8,4.0 GB/s
3.0,2010,128b/130b,8.0 GT/s,8,7.88 GB/s
4.0,2017,128b/130b,16.0 GT/s,8,15.75 GB/s
5.0,expected in Q1 2019,128b/130b,32.0 GT/s,8,31.51 GB/s
1.0,2003,8b/10b,2.5 GT/s,16,4.0 GB/s
2.0,2007,8b/10b,5.0 GT/s,16,8.0 GB/s
3.0,2010,128b/130b,8.0 GT/s,16,15.8 GB/s
4.0,2017,128b/130b,16.0 GT/s,16,31.5 GB/s
5.0,expected in Q1 2019,128b/130b,32.0 GT/s,16,63.0 GB/s
