year,competition_name,location,discipline,rank,round,result
2002,World Junior Championships,"Kingston, Jamaica",800 m,16th,sf,1:53.36
2009,Universiade,"Belgrade, Serbia",800 m,22nd,sf,1:53.58
2009,Universiade,"Belgrade, Serbia",1500 m,20th,h,3:48.15
2011,European Indoor Championships,"Paris, France",1500 m,23rd,h,3:49.98
2011,Universiade,"Shenzhen, China",800 m,23rd,sf,1:50.77
2011,Universiade,"Shenzhen, China",1500 m,9th,h,3:47.34
2014,World Half Marathon Championships,"Copenhagen, Denmark",Half marathon,73rd,,1:05:14
2014,European Championships,"Zürich, Switzerland",Marathon,18th,,2:17:54
2015,World Championships,"Beijing, China",Marathon,20th,,2:20:35
2016,European Championships,"Amsterdam, Netherlands",Half marathon,31st,,1:06:00
2016,Olympic Games,"Rio de Janeiro, Brazil",Marathon,61st,,2:19:26
2017,World Championships,"London, United Kingdom",Marathon,53rd,,2:23.28
2018,World Half Marathon Championships,"Valencia, Spain",Half marathon,69th,,1:03.45
2018,European Championships,"Berlin, Germany",Marathon,17th,,2:17:57
