country,release_date,format,label
Austria,16 July 2012,Digital download,Island
Belgium,16 July 2012,Digital download,Island
Finland,16 July 2012,Digital download,Island
France,16 July 2012,Digital download,Island
Germany,16 July 2012,Digital download,Island
Luxembourg,16 July 2012,Digital download,Island
Netherlands,16 July 2012,Digital download,Island
Portugal,16 July 2012,Digital download,Island
Australia,17 July 2012,Digital download,Island
Canada,17 July 2012,Digital download,Island
New Zealand,17 July 2012,Digital download,Island
Mexico,17 July 2012,Digital download,Island
United States,17 July 2012,Digital download,Island
