year,song_title,featured_artist,primary_artists,release_type,label
2017,Freedom (Intro),Muyiwa,"Mide, Nonso Amadi",Dear Music,-
2017,It's All About Love,,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,These Feelings,,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,Temptations (Relapse),,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,Before the Silence,,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,Silence (Father have mercy),,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,W.S.T (Good Fight),,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,Moonshine (Reprise),,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,F.S.L.S,,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2017,Juju,,"Gabriel Ryder, The Chordinator and Nobong D'Synth",Love to a Mortal,-
2018,Lagos,Tim Lyre,Nobong D’Synth,Single,-
2018,Vanity,Preyé Itam,Gabriel Ryder,Single,-
