club,season,division,competition,apps,goals
Club,Season,Division,League,0,0
Club,Season,Division,Cup,0,0
Mansfield Town,1946–47,Third Division South,League,12,3
Mansfield Town,1946–47,Third Division South,Cup,0,0
Mansfield Town,1947–48,Third Division North,League,40,12
Mansfield Town,1947–48,Third Division North,Cup,3,1
Mansfield Town,1948–49,Third Division North,League,38,14
Mansfield Town,1948–49,Third Division North,Cup,3,3
Mansfield Town,1949–50,Third Division North,League,23,12
Mansfield Town,1949–50,Third Division North,Cup,2,0
Stoke City,1949–50,First Division,League,16,3
Stoke City,1949–50,First Division,Cup,0,0
Stoke City,1950–51,First Division,League,35,6
Stoke City,1950–51,First Division,Cup,4,0
Stoke City,1951–52,First Division,League,40,10
Stoke City,1951–52,First Division,Cup,4,0
Stoke City,1952–53,First Division,League,37,10
Stoke City,1952–53,First Division,Cup,2,0
Stoke City,1953–54,Second Division,League,33,13
Stoke City,1953–54,Second Division,Cup,3,0
Stoke City,1954–55,Second Division,League,37,21
Stoke City,1954–55,Second Division,Cup,1,0
Stoke City,1955–56,Second Division,League,38,15
Stoke City,1955–56,Second Division,Cup,5,2
Stoke City,1956–57,Second Division,League,41,11
Stoke City,1956–57,Second Division,Cup,1,1
Stoke City,1957–58,Second Division,League,21,6
Stoke City,1957–58,Second Division,Cup,1,1
Stoke City,1958–59,Second Division,League,28,8
Stoke City,1958–59,Second Division,Cup,2,0
Port Vale,1959–60,Third Division,League,26,7
Port Vale,1959–60,Third Division,Cup,1,0
Port Vale,1960–61,Third Division,League,21,5
Port Vale,1960–61,Third Division,Cup,0,0
