year,competition,venue,placement,distance,modality,relay_count,unit,event_type,result_raw
2008,Central American and Caribbean Championships,"Cali, Colombia",6th (h),200,individual,,m,sprint,23.90 s A (wind: +0.7 m/s)
2008,Central American and Caribbean Championships,"Cali, Colombia",1st,400,relay,4,m,relay,3:27.97 min A
2009,ALBA Games,"Havana, Cuba",2nd,400,individual,,m,sprint,53.19 s
2009,ALBA Games,"Havana, Cuba",1st,400,relay,4,m,relay,3:35.04 min
2009,Central American and Caribbean Championships,"Havana, Cuba",3rd,400,individual,,m,sprint,52.31 s
2009,Central American and Caribbean Championships,"Havana, Cuba",1st,400,relay,4,m,relay,3:29.94 min
2009,World Championships,"Berlin, Germany",8th,400,relay,4,m,relay,3:36.99 min
2010,Ibero-American Championships,"San Fernando, Spain",1st,400,individual,,m,sprint,52.25 s
2010,Ibero-American Championships,"San Fernando, Spain",1st,400,relay,4,m,relay,3:30.73 min
2011,ALBA Games,"Barquisimeto, Venezuela",2nd,400,individual,,m,sprint,52.04 s
2011,ALBA Games,"Barquisimeto, Venezuela",1st,400,relay,4,m,relay,3:34.91 min
2011,World Championships,"Daegu, Korea",6th (h),400,individual,,m,sprint,53.69 s
2011,World Championships,"Daegu, Korea",4th (h),400,relay,4,m,relay,3:26.74 min
2011,Pan American Games,"Guadalajara, Mexico",2nd,400,individual,,m,sprint,51.69 s A
2011,Pan American Games,"Guadalajara, Mexico",1st,400,relay,4,m,relay,3:28.09 min A
2012,Ibero-American Championships,"Barquisimeto, Venezuela",1st,400,individual,,m,sprint,52.27 s
2012,Ibero-American Championships,"Barquisimeto, Venezuela",2nd,400,relay,4,m,relay,3:29.13 min
2012,Olympic Games,"London, United Kingdom",6th (h),400,relay,4,m,relay,3:27.41 min
2014,Pan American Sports Festival,"Mexico City, Mexico",2nd,400,individual,,m,sprint,51.78 s A
2014,Central American and Caribbean Games,"Xalapa, Mexico",2nd,400,individual,,m,sprint,52.49 s A
2014,Central American and Caribbean Games,"Xalapa, Mexico",1st,400,relay,4,m,relay,3:29.69 min A
2015,NACAC Championships,"San José, Costa Rica",—,400,individual,,m,sprint,DNF
2016,Olympic Games,"Rio de Janeiro, Brazil",15th (h),400,relay,4,m,relay,3:30.11 min
