year,title,character_name,episode_info
2002,Marisol,Alessandra Figueiredo,-
2002,Malhação,Tininha,"Season 9; Episode: ""December 2, 2002"""
2005,América,Kerry Villa Nova,-
2006,Cristal,Marión Bandeira de Carvalho,-
2007,Sete Pecados,Eliete Gasparini,-
2008,Água na Boca,Érika Fagundes,-
2011,Morde & Assopra,Melissa,-
2013,Contos do Edgar,friend of Cecília,"Episode: ""Cecília"""
2014,Meus Dias de Rock,Martha,-
2015,O Hipnotizador,Carolina,"Episodes: ""A Fita Amarela"" / ""O Colecionador de Dias"""
2016,Os Dez Mandamentos,Achsah,"Episodes: ""July 2–4, 2016"""
2016,A Terra Prometida,Achsah,-
2017,Prata da Casa,Sabrina,"Episode: ""In Cannabis Veritas"""
