year,stage,opponent,score,result,venue_city,scorers
1930,Group stage,Paraguay,3–0,W,Montevideo,B. Patenaude (3)
1930,Semi-finals,Argentina,1–6,L,Montevideo,J. Brown
1934,Round of 16,Italy,1–7,L,Rome,A. Donelli
1950,Group stage,Spain,1–3,L,Curitiba,G. Pariani
1950,Group stage,England,1–0,W,Belo Horizonte,J. Gaetjens
1950,Group stage,Chile,2–5,L,Recife,"F. Wallace, J. Maca"
1990,Group stage,Czechoslovakia,1–5,L,Florence,P. Caligiuri
1990,Group stage,Italy,0–1,L,Rome,&—
1990,Group stage,Austria,1–2,L,Florence,B. Murray
1994,Group stage,Switzerland,1–1,D,Pontiac,E. Wynalda
1994,Group stage,Colombia,2–1,W,Pasadena,"A. Escobar (o.g.), E. Stewart"
1994,Group stage,Romania,0–1,L,Pasadena,&—
1994,Round of 16,Brazil,0–1,L,Stanford,&—
1998,Group stage,Germany,0–2,L,Paris,&—
1998,Group stage,Iran,1–2,L,Lyon,B. McBride
1998,Group stage,FR Yugoslavia,0–1,L,Nantes,&—
2002,Group stage,Portugal,3–2,W,Suwon,"J. O'Brien, J. Costa (o.g.), B. McBride"
2002,Group stage,South Korea,1–1,D,Daegu,C. Mathis
2002,Group stage,Poland,1–3,L,Daejeon,L. Donovan
2002,Round of 16,Mexico,2–0,W,Jeonju,"B. McBride, L. Donovan"
2002,Quarter-finals,Germany,0–1,L,Ulsan,&—
2006,Group stage,Czech Republic,0–3,L,Gelsenkirchen,&—
2006,Group stage,Italy,1–1,D,Kaiserslautern,C. Zaccardo (o.g.)
2006,Group stage,Ghana,1–2,L,Nuremberg,C. Dempsey
2010,Group stage,England,1–1,D,Rustenburg,C. Dempsey
2010,Group stage,Slovenia,2–2,D,Johannesburg,"L. Donovan, M. Bradley"
2010,Group stage,Algeria,1–0,W,Pretoria,L. Donovan
2010,Round of 16,Ghana,1–2 (a.e.t.),L,Rustenburg,L. Donovan
2014,Group stage,Ghana,2–1,W,Natal,"C. Dempsey, J. Brooks"
2014,Group stage,Portugal,2–2,D,Manaus,"J. Jones, C. Dempsey"
2014,Group stage,Germany,0–1,L,Recife,&—
2014,Round of 16,Belgium,1–2 (a.e.t.),L,Salvador,J. Green
