year,game_title,platform,role
1993,Night Slashers,Arcade,-
1997,Little Lovers,PC,-
1998,Little Lovers 2nd. Yui,PC,-
1999,Little Lovers: She So Game,PlayStation,-
2002,Fushigi no Dungeon: Fūrai no Shiren Gaiden: Onna Kenshi Asuka Kenzan,Dreamcast,Game balance
2002,Banshee's Last Cry,Game Boy Advance,Director (GBA port)
2004,3年B組金八先生 伝説の教壇に立て!,PlayStation 2,Director
2006,かまいたちの夜 ニワンゴ版,"mobile phone, web",Producer
2007,Imabikisō,PlayStation 3,Producer
2008,428: Shibuya Scramble,Nintendo Wii,"Director, writer"
2009,"Nine Hours, Nine Persons, Nine Doors",Nintendo DS,Producer
2010,TRICK × LOGIC,PlayStation Portable,Producer
2012,Time Travelers,Nintendo 3DS,"Director, writer"
2013,Devil Station,mobile phone,"Director, world concept"
2015,Monster Strike,Nintendo 3DS,Story project structure
2019,Project Sakura Wars (working title),PlayStation 4,Story structure
