year,artist,title,role
1980,Night,Long Distance,Engineer
1980,City Boy,Heads Are Rolling,"Engineer, audio engineer"
1980,Desmond Dekker,Black and Dekker,Engineer
1981,City Boy,It's Personal,Engineer
1981,Def Leppard,High 'n' Dry,Engineer
1982,Sniff 'n' the Tears,Ride Blue Divide,"Producer, engineer, mixing engineer"
1982,A Flock of Seagulls,A Flock of Seagulls,Engineer
1983,Q-Feel,Q-Feel,Engineer
1983,Def Leppard,Pyromania,Engineer
1983,Diamond Head,Canterbury,"Producer, engineer, audio engineer"
1984,Thomas Dolby,The Flat Earth,Mixing engineer
1984,Devo,Shout,Mixing engineer
1984,Berlin,Love Life,Mixing engineer
1984,The Cars,Heartbeat City,Mixing engineer
1985,Prefab Sprout,Steve McQueen,"Audio engineer, mixing engineer"
1985,Joni Mitchell,Dog Eat Dog,"Producer, audio engineer, mixing engineer"
1985,Kim Carnes,Barking at Airplanes,Mixing engineer
1986,Benjamin Orr,The Lace,"Producer, audio engineer, mixing engineer"
1986,Lone Justice,Shelter,Mixing engineer
1986,Berlin,Count Three & Pray,Mixing engineer
1987,Alison Moyet,Raindancing,"Mixing engineer, associate producer"
1987,Tom Petty and the Heartbreakers,Let Me Up (I've Had Enough),Mixing engineer
1987,Def Leppard,Hysteria,Mixing engineer
1988,Scorpions,Savage Amusement,Mixing engineer
1988,Prefab Sprout,From Langley Park to Memphis,Mixing engineer
1988,Joni Mitchell,Chalk Mark in a Rain Storm,"Audio engineer, mixing engineer"
