ethnicity_cn,ethnicity_en,year,metric_type,count
亞洲人（非華人）,Asian (other than Chinese),2011,number,365611
亞洲人（非華人）,Asian (other than Chinese),2016,number,457188
亞洲人（非華人）,Asian (other than Chinese),2021,number,487862
菲律賓人,Filipino,2011,number,133018
菲律賓人,Filipino,2016,number,184081
菲律賓人,Filipino,2021,number,201291
印尼人,Indonesian,2011,number,133377
印尼人,Indonesian,2016,number,153299
印尼人,Indonesian,2021,number,142065
南亞裔人士,South Asian,2011,number,65521
南亞裔人士,South Asian,2016,number,84875
南亞裔人士,South Asian,2021,number,101969
印度人,Indian,2011,number,28616
印度人,Indian,2016,number,36462
印度人,Indian,2021,number,42569
尼泊爾人,Nepalese,2011,number,16518
尼泊爾人,Nepalese,2016,number,25472
尼泊爾人,Nepalese,2021,number,29701
巴基斯坦人,Pakistani,2011,number,18042
巴基斯坦人,Pakistani,2016,number,18094
巴基斯坦人,Pakistani,2021,number,24385
其他南亞裔人士[1],Other South Asian[1],2011,number,2345
其他南亞裔人士[1],Other South Asian[1],2016,number,4847
其他南亞裔人士[1],Other South Asian[1],2021,number,5314
泰國人,Thai,2011,number,11213
泰國人,Thai,2016,number,10215
泰國人,Thai,2021,number,12972
日本人,Japanese,2011,number,12580
日本人,Japanese,2016,number,9976
日本人,Japanese,2021,number,10291
韓國人,Korean,2011,number,5209
韓國人,Korean,2016,number,6309
韓國人,Korean,2021,number,8700
其他亞洲人,Other Asian,2011,number,4693
其他亞洲人,Other Asian,2016,number,8433
其他亞洲人,Other Asian,2021,number,10574
白人,White,2011,number,55236
白人,White,2016,number,58209
白人,White,2021,number,61582
混血兒,Mixed,2011,number,29001
混血兒,Mixed,2016,number,65255
混血兒,Mixed,2021,number,66732
華人父或母,With Chinese parent,2011,number,24649
華人父或母,With Chinese parent,2016,number,53581
華人父或母,With Chinese parent,2021,number,54541
其他混血兒,Other mixed,2011,number,4352
其他混血兒,Other mixed,2016,number,11674
其他混血兒,Other mixed,2021,number,12191
其他[2],Others[2],2011,number,1335
其他[2],Others[2],2016,number,3731
其他[2],Others[2],2021,number,3392
