year,ethnicity_cn,ethnicity_en,age_group,measure_type,value
2011,亞洲人（非華人）,Asian (other than Chinese),< 15,count,23984.0
2011,亞洲人（非華人）,Asian (other than Chinese),15 - 24,count,25650.0
2011,亞洲人（非華人）,Asian (other than Chinese),25 - 34,count,152228.0
2011,亞洲人（非華人）,Asian (other than Chinese),35 - 44,count,103841.0
2011,亞洲人（非華人）,Asian (other than Chinese),45 - 54,count,41396.0
2011,亞洲人（非華人）,Asian (other than Chinese),55 - 64,count,13196.0
2011,亞洲人（非華人）,Asian (other than Chinese),65+,count,5316.0
2011,亞洲人（非華人）,Asian (other than Chinese),< 15,percentage,6.6
2011,亞洲人（非華人）,Asian (other than Chinese),15 - 24,percentage,7.0
2011,亞洲人（非華人）,Asian (other than Chinese),25 - 34,percentage,41.6
2011,亞洲人（非華人）,Asian (other than Chinese),35 - 44,percentage,28.4
2011,亞洲人（非華人）,Asian (other than Chinese),45 - 54,percentage,11.3
2011,亞洲人（非華人）,Asian (other than Chinese),55 - 64,percentage,3.6
2011,亞洲人（非華人）,Asian (other than Chinese),65+,percentage,1.5
2011,菲律賓人,Filipino,< 15,count,2918.0
2011,菲律賓人,Filipino,15 - 24,count,4016.0
2011,菲律賓人,Filipino,25 - 34,count,45840.0
2011,菲律賓人,Filipino,35 - 44,count,48555.0
2011,菲律賓人,Filipino,45 - 54,count,25243.0
2011,菲律賓人,Filipino,55 - 64,count,5768.0
2011,菲律賓人,Filipino,65+,count,678.0
2011,菲律賓人,Filipino,< 15,percentage,2.2
2011,菲律賓人,Filipino,15 - 24,percentage,3.0
2011,菲律賓人,Filipino,25 - 34,percentage,34.5
2011,菲律賓人,Filipino,35 - 44,percentage,36.5
2011,菲律賓人,Filipino,45 - 54,percentage,19.0
2011,菲律賓人,Filipino,55 - 64,percentage,4.3
2011,菲律賓人,Filipino,65+,percentage,0.5
2011,印尼人,Indonesian,< 15,count,302.0
2011,印尼人,Indonesian,15 - 24,count,12405.0
2011,印尼人,Indonesian,25 - 34,count,85764.0
2011,印尼人,Indonesian,35 - 44,count,31846.0
2011,印尼人,Indonesian,45 - 54,count,2255.0
2011,印尼人,Indonesian,55 - 64,count,483.0
2011,印尼人,Indonesian,65+,count,322.0
2011,印尼人,Indonesian,< 15,percentage,0.2
2011,印尼人,Indonesian,15 - 24,percentage,9.3
2011,印尼人,Indonesian,25 - 34,percentage,64.3
2011,印尼人,Indonesian,35 - 44,percentage,23.9
2011,印尼人,Indonesian,45 - 54,percentage,1.7
2011,印尼人,Indonesian,55 - 64,percentage,0.4
2011,印尼人,Indonesian,65+,percentage,0.2
