year,ethnicity_cn,ethnicity_en,marital_status_cn,marital_status_en,sex,percentage
2011,亞洲人（非華人）,Asian (other than Chinese),從未結婚,Never married,Male,23.0
2011,亞洲人（非華人）,Asian (other than Chinese),從未結婚,Never married,Female,35.6
2011,亞洲人（非華人）,Asian (other than Chinese),已婚,Married,Male,73.9
2011,亞洲人（非華人）,Asian (other than Chinese),已婚,Married,Female,56.3
2011,亞洲人（非華人）,Asian (other than Chinese),喪偶／離婚／分居,"Widowed/divorced/
separated",Male,3.1
2011,亞洲人（非華人）,Asian (other than Chinese),喪偶／離婚／分居,"Widowed/divorced/
separated",Female,8.1
2011,菲律賓人,Filipino,從未結婚,Never married,Male,26.1
2011,菲律賓人,Filipino,從未結婚,Never married,Female,36.4
2011,菲律賓人,Filipino,已婚,Married,Male,68.8
2011,菲律賓人,Filipino,已婚,Married,Female,54.0
2011,菲律賓人,Filipino,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,5.1
2011,菲律賓人,Filipino,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,9.6
2011,印尼人,Indonesian,從未結婚,Never married,Male,29.2
2011,印尼人,Indonesian,從未結婚,Never married,Female,40.4
2011,印尼人,Indonesian,已婚,Married,Male,68.2
2011,印尼人,Indonesian,已婚,Married,Female,52.6
2011,印尼人,Indonesian,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,2.6
2011,印尼人,Indonesian,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,7.0
2011,南亞裔人士,South Asian,從未結婚,Never married,Male,23.7
2011,南亞裔人士,South Asian,從未結婚,Never married,Female,20.2
2011,南亞裔人士,South Asian,已婚,Married,Male,73.6
2011,南亞裔人士,South Asian,已婚,Married,Female,74.6
2011,南亞裔人士,South Asian,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,2.7
2011,南亞裔人士,South Asian,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,5.2
2011,印度人,Indian,從未結婚,Never married,Male,22.9
2011,印度人,Indian,從未結婚,Never married,Female,20.9
2011,印度人,Indian,已婚,Married,Male,74.4
2011,印度人,Indian,已婚,Married,Female,73.4
2011,印度人,Indian,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,2.7
2011,印度人,Indian,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,5.7
2011,尼泊爾人,Nepalese,從未結婚,Never married,Male,20.3
2011,尼泊爾人,Nepalese,從未結婚,Never married,Female,22.0
2011,尼泊爾人,Nepalese,已婚,Married,Male,75.3
2011,尼泊爾人,Nepalese,已婚,Married,Female,73.1
2011,尼泊爾人,Nepalese,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,4.3
2011,尼泊爾人,Nepalese,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,4.8
2011,巴基斯坦人,Pakistani,從未結婚,Never married,Male,26.5
2011,巴基斯坦人,Pakistani,從未結婚,Never married,Female,15.8
2011,巴基斯坦人,Pakistani,已婚,Married,Male,72.1
2011,巴基斯坦人,Pakistani,已婚,Married,Female,81.0
2011,巴基斯坦人,Pakistani,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,1.4
2011,巴基斯坦人,Pakistani,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,3.2
2011,其他南亞裔人士[1],Other South Asian[1],從未結婚,Never married,Male,39.9
2011,其他南亞裔人士[1],Other South Asian[1],從未結婚,Never married,Female,20.0
2011,其他南亞裔人士[1],Other South Asian[1],已婚,Married,Male,59.7
2011,其他南亞裔人士[1],Other South Asian[1],已婚,Married,Female,71.0
2011,其他南亞裔人士[1],Other South Asian[1],喪偶／離婚／分居,"Widowed/divorced/
separated",Male,0.4
2011,其他南亞裔人士[1],Other South Asian[1],喪偶／離婚／分居,"Widowed/divorced/
separated",Female,9.0
2011,泰國人,Thai,從未結婚,Never married,Male,25.2
2011,泰國人,Thai,從未結婚,Never married,Female,13.3
2011,泰國人,Thai,已婚,Married,Male,73.4
2011,泰國人,Thai,已婚,Married,Female,71.6
2011,泰國人,Thai,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,1.4
2011,泰國人,Thai,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,15.1
2011,日本人,Japanese,從未結婚,Never married,Male,15.6
2011,日本人,Japanese,從未結婚,Never married,Female,20.1
2011,日本人,Japanese,已婚,Married,Male,81.4
2011,日本人,Japanese,已婚,Married,Female,77.1
2011,日本人,Japanese,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,3.0
2011,日本人,Japanese,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,2.8
2011,韓國人,Korean,從未結婚,Never married,Male,17.5
2011,韓國人,Korean,從未結婚,Never married,Female,20.5
2011,韓國人,Korean,已婚,Married,Male,81.7
2011,韓國人,Korean,已婚,Married,Female,71.4
2011,韓國人,Korean,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,0.8
2011,韓國人,Korean,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,8.1
2011,其他亞洲人,Other Asian,從未結婚,Never married,Male,29.5
2011,其他亞洲人,Other Asian,從未結婚,Never married,Female,21.1
2011,其他亞洲人,Other Asian,已婚,Married,Male,64.2
2011,其他亞洲人,Other Asian,已婚,Married,Female,70.4
2011,其他亞洲人,Other Asian,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,6.3
2011,其他亞洲人,Other Asian,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,8.5
2011,白人,White,從未結婚,Never married,Male,29.1
2011,白人,White,從未結婚,Never married,Female,27.0
2011,白人,White,已婚,Married,Male,64.8
2011,白人,White,已婚,Married,Female,63.8
2011,白人,White,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,6.1
2011,白人,White,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,9.2
2011,混血兒,Mixed,從未結婚,Never married,Male,53.0
2011,混血兒,Mixed,從未結婚,Never married,Female,48.6
2011,混血兒,Mixed,已婚,Married,Male,42.3
2011,混血兒,Mixed,已婚,Married,Female,38.6
2011,混血兒,Mixed,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,4.7
2011,混血兒,Mixed,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,12.8
2011,華人父或母,With Chinese parent,從未結婚,Never married,Male,52.0
2011,華人父或母,With Chinese parent,從未結婚,Never married,Female,48.6
2011,華人父或母,With Chinese parent,已婚,Married,Male,43.1
2011,華人父或母,With Chinese parent,已婚,Married,Female,38.1
2011,華人父或母,With Chinese parent,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,4.9
2011,華人父或母,With Chinese parent,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,13.2
2011,其他混血兒,Other Mixed,從未結婚,Never married,Male,65.1
2011,其他混血兒,Other Mixed,從未結婚,Never married,Female,48.3
2011,其他混血兒,Other Mixed,已婚,Married,Male,32.2
2011,其他混血兒,Other Mixed,已婚,Married,Female,41.4
2011,其他混血兒,Other Mixed,喪偶／離婚／分居,"Widowed/divorced/
separated",Male,2.7
2011,其他混血兒,Other Mixed,喪偶／離婚／分居,"Widowed/divorced/
separated",Female,10.3
2011,其他[2],Others[2],從未結婚,Never married,Male,31.4
2011,其他[2],Others[2],從未結婚,Never married,Female,30.4
2011,其他[2],Others[2],已婚,Married,Male,64.0
2011,其他[2],Others[2],已婚,Married,Female,69.6
2011,其他[2],Others[2],喪偶／離婚／分居,"Widowed/divorced/
separated",Male,4.6
