cohort,outcome,group_id,percentage
second year after immigration,attended school in the previous year,1,11.9
second year after immigration,not in the labour force in the previous year,1,24.1
second year after immigration,unemployed in the previous year,1,12.1
second year after immigration,regional unemployment rate,1,11.1
second year after immigration,percentage of own-group immigrants,1,4.7
fifth year after immigration,attended school in the previous year,1,9.3
fifth year after immigration,not in the labour force in the previous year,1,17.0
fifth year after immigration,unemployed in the previous year,1,21.8
fifth year after immigration,regional unemployment rate,1,11.0
fifth year after immigration,percentage of own-group immigrants,1,5.3
second year after immigration,attended school in the previous year,2,6.9
second year after immigration,not in the labour force in the previous year,2,20.7
second year after immigration,unemployed in the previous year,2,24.9
second year after immigration,regional unemployment rate,2,10.9
second year after immigration,percentage of own-group immigrants,2,4.4
fifth year after immigration,attended school in the previous year,2,6.1
fifth year after immigration,not in the labour force in the previous year,2,18.4
fifth year after immigration,unemployed in the previous year,2,28.8
fifth year after immigration,regional unemployment rate,2,10.9
fifth year after immigration,percentage of own-group immigrants,2,4.8
second year after immigration,attended school in the previous year,3,4.1
second year after immigration,not in the labour force in the previous year,3,56.9
second year after immigration,unemployed in the previous year,3,3.6
second year after immigration,regional unemployment rate,3,11.9
second year after immigration,percentage of own-group immigrants,3,1.9
fifth year after immigration,attended school in the previous year,3,7.3
fifth year after immigration,not in the labour force in the previous year,3,36.6
fifth year after immigration,unemployed in the previous year,3,18.9
fifth year after immigration,regional unemployment rate,3,11.7
fifth year after immigration,percentage of own-group immigrants,3,2.1
second year after immigration,attended school in the previous year,4,4.6
second year after immigration,not in the labour force in the previous year,4,23.2
second year after immigration,unemployed in the previous year,4,12.4
second year after immigration,regional unemployment rate,4,10.6
second year after immigration,percentage of own-group immigrants,4,2.6
fifth year after immigration,attended school in the previous year,4,6.7
fifth year after immigration,not in the labour force in the previous year,4,22.5
fifth year after immigration,unemployed in the previous year,4,24.2
fifth year after immigration,regional unemployment rate,4,10.4
fifth year after immigration,percentage of own-group immigrants,4,2.7
second year after immigration,attended school in the previous year,5,10.0
second year after immigration,not in the labour force in the previous year,5,26.3
second year after immigration,unemployed in the previous year,5,17.0
second year after immigration,regional unemployment rate,5,10.8
second year after immigration,percentage of own-group immigrants,5,3.7
fifth year after immigration,attended school in the previous year,5,7.5
fifth year after immigration,not in the labour force in the previous year,5,21.3
fifth year after immigration,unemployed in the previous year,5,21.7
fifth year after immigration,regional unemployment rate,5,11.3
fifth year after immigration,percentage of own-group immigrants,5,4.2
