section,perpetrator_category,cohort,percentage
,canadian armed forces member(s),cohort_1,91.0
,foreign military member(s),cohort_1,
,department of national defence civilian(s) or contractor(s),cohort_1,
,other,cohort_1,
,don't know,cohort_1,
number of perpetrators,lone,cohort_1,77.0
number of perpetrators,two or more,cohort_1,
number of perpetrators,"varied - sometimes one perpetrator, other times multiple perpetrators",cohort_1,
number of perpetrators,don't know,cohort_1,
sex of perpetrator,always men,cohort_1,56.0
sex of perpetrator,always women,cohort_1,28.0
sex of perpetrator,combination of men and women,cohort_1,
sex of perpetrator,don't know,cohort_1,
relationship to victim,supervisor or higher rank,cohort_1,36.0
relationship to victim,peer,cohort_1,65.0
relationship to victim,subordinate - either in or outside chain of command,cohort_1,17.0
relationship to victim,intimate partner,cohort_1,
relationship to victim,stranger,cohort_1,
relationship to victim,other,cohort_1,
relationship to victim,don't know,cohort_1,
rank of perpetrator,junior non-commissioned member,cohort_1,76.0
rank of perpetrator,senior non-commissioned member,cohort_1,20.0
rank of perpetrator,junior officer,cohort_1,17.0
rank of perpetrator,senior officer,cohort_1,
rank of perpetrator,other,cohort_1,
rank of perpetrator,don't know,cohort_1,
,canadian armed forces member(s),cohort_2,97.0
,foreign military member(s),cohort_2,
,department of national defence civilian(s) or contractor(s),cohort_2,
,other,cohort_2,
,don't know,cohort_2,
number of perpetrators,lone,cohort_2,90.0
number of perpetrators,two or more,cohort_2,
number of perpetrators,"varied - sometimes one perpetrator, other times multiple perpetrators",cohort_2,
number of perpetrators,don't know,cohort_2,
sex of perpetrator,always men,cohort_2,96.0
sex of perpetrator,always women,cohort_2,
sex of perpetrator,combination of men and women,cohort_2,
sex of perpetrator,don't know,cohort_2,
relationship to victim,supervisor or higher rank,cohort_2,51.0
relationship to victim,peer,cohort_2,46.0
relationship to victim,subordinate - either in or outside chain of command,cohort_2,14.0
relationship to victim,intimate partner,cohort_2,
relationship to victim,stranger,cohort_2,
relationship to victim,other,cohort_2,
relationship to victim,don't know,cohort_2,
rank of perpetrator,junior non-commissioned member,cohort_2,72.0
rank of perpetrator,senior non-commissioned member,cohort_2,26.0
rank of perpetrator,junior officer,cohort_2,
rank of perpetrator,senior officer,cohort_2,
rank of perpetrator,other,cohort_2,
rank of perpetrator,don't know,cohort_2,
,canadian armed forces member(s),cohort_3,94.0
,foreign military member(s),cohort_3,
,department of national defence civilian(s) or contractor(s),cohort_3,
,other,cohort_3,
,don't know,cohort_3,
number of perpetrators,lone,cohort_3,83.0
number of perpetrators,two or more,cohort_3,9.2
number of perpetrators,"varied - sometimes one perpetrator, other times multiple perpetrators",cohort_3,9.8
number of perpetrators,don't know,cohort_3,
sex of perpetrator,always men,cohort_3,76.0
sex of perpetrator,always women,cohort_3,14.0
sex of perpetrator,combination of men and women,cohort_3,10.0
sex of perpetrator,don't know,cohort_3,
relationship to victim,supervisor or higher rank,cohort_3,44.0
relationship to victim,peer,cohort_3,54.0
relationship to victim,subordinate - either in or outside chain of command,cohort_3,16.0
relationship to victim,intimate partner,cohort_3,
relationship to victim,stranger,cohort_3,9.1
relationship to victim,other,cohort_3,6.1
relationship to victim,don't know,cohort_3,
rank of perpetrator,junior non-commissioned member,cohort_3,74.0
rank of perpetrator,senior non-commissioned member,cohort_3,24.0
rank of perpetrator,junior officer,cohort_3,12.0
rank of perpetrator,senior officer,cohort_3,4.8
rank of perpetrator,other,cohort_3,
rank of perpetrator,don't know,cohort_3,
