perpetrator_type,perpetrator_number,perpetrator_sex,perpetrator_relationship,perpetrator_rank,harassment_behavior,percentage
canadian armed forces member(s),,,,,sexual jokes,97.0
canadian armed forces member(s),,,,,unwanted sexual attention,95.0
canadian armed forces member(s),,,,,inappropriate sexual comments,94.0
canadian armed forces member(s),,,,,inappropriate discussion about sex life,96.0
canadian armed forces member(s),,,,,"displaying, showing, or sending sexually explicit messages or materials",97.0
canadian armed forces member(s),,,,,indecent exposure or inappropriate display of body parts,94.0
canadian armed forces member(s),,,,,repeated pressure from the same person for dates or sexual relations,95.0
canadian armed forces member(s),,,,,unwelcome physical contact or getting too close,94.0
foreign military member(s),,,,,sexual jokes,4.6
foreign military member(s),,,,,unwanted sexual attention,5.2
foreign military member(s),,,,,inappropriate sexual comments,3.7
foreign military member(s),,,,,inappropriate discussion about sex life,3.2
department of national defence civilian(s) or contractor(s),,,,,sexual jokes,14.0
department of national defence civilian(s) or contractor(s),,,,,unwanted sexual attention,9.8
department of national defence civilian(s) or contractor(s),,,,,inappropriate sexual comments,9.2
department of national defence civilian(s) or contractor(s),,,,,inappropriate discussion about sex life,10.0
department of national defence civilian(s) or contractor(s),,,,,"displaying, showing, or sending sexually explicit messages or materials",7.9
department of national defence civilian(s) or contractor(s),,,,,repeated pressure from the same person for dates or sexual relations,7.8
department of national defence civilian(s) or contractor(s),,,,,unwelcome physical contact or getting too close,5.7
other,,,,,sexual jokes,12.0
other,,,,,unwanted sexual attention,5.7
other,,,,,inappropriate sexual comments,6.9
other,,,,,inappropriate discussion about sex life,8.2
other,,,,,"displaying, showing, or sending sexually explicit messages or materials",9.1
other,,,,,unwelcome physical contact or getting too close,3.4
don't know,,,,,sexual jokes,2.2
don't know,,,,,inappropriate sexual comments,3.3
,lone,,,,sexual jokes,18.0
,lone,,,,unwanted sexual attention,47.0
,lone,,,,inappropriate sexual comments,36.0
,lone,,,,inappropriate discussion about sex life,23.0
,lone,,,,"displaying, showing, or sending sexually explicit messages or materials",34.0
,lone,,,,indecent exposure or inappropriate display of body parts,56.0
