athlete_name,event,round_id,result,rank
hector cotto,110 m hurdles,1,13.72,6 q
hector cotto,110 m hurdles,2,13.73,8
hector cotto,110 m hurdles,3,did not advance,
hector cotto,110 m hurdles,4,,
javier culson,400 m hurdles,1,49.60,4 q
javier culson,400 m hurdles,2,,
javier culson,400 m hurdles,3,49.85,8
javier culson,400 m hurdles,4,did not advance,
david freeman,1500 m,1,3:39.70,10
david freeman,1500 m,2,,
david freeman,1500 m,3,did not advance,
david freeman,1500 m,4,,
felix martinez,400 m,1,46.46,7
felix martinez,400 m,2,,
felix martinez,400 m,3,did not advance,
felix martinez,400 m,4,,
