year,team,statistic,value
2006,kc,g,16
2007,kc,g,16
2008,kc,g,15
2009,kc,g,16
2010,kc,g,16
2011,kc,g,16
2012,kc,g,15
2013,kc,g,15
2014,kc,g,16
2015,kc,g,15
2016,kc,g,16
2017,kc,g,5
2006,kc,gs,16
2007,kc,gs,16
2008,kc,gs,15
2009,kc,gs,16
2010,kc,gs,16
2011,kc,gs,16
2012,kc,gs,15
2013,kc,gs,15
2014,kc,gs,16
2015,kc,gs,14
2016,kc,gs,2
2017,kc,gs,0
2006,kc,comb,58
2007,kc,comb,58
2008,kc,comb,54
2009,kc,comb,62
2010,kc,comb,51
2011,kc,comb,66
2012,kc,comb,54
2013,kc,comb,46
2014,kc,comb,59
2015,kc,comb,45
2016,kc,comb,34
2017,kc,comb,1
2006,kc,total,41
2007,kc,total,46
2008,kc,total,43
2009,kc,total,46
2010,kc,total,36
2011,kc,total,48
2012,kc,total,43
2013,kc,total,39
2014,kc,total,47
2015,kc,total,36
2016,kc,total,24
2017,kc,total,1
2006,kc,ast,17
2007,kc,ast,12
2008,kc,ast,11
2009,kc,ast,16
2010,kc,ast,15
2011,kc,ast,18
2012,kc,ast,11
2013,kc,ast,7
2014,kc,ast,12
2015,kc,ast,9
2016,kc,ast,10
2017,kc,ast,0
2006,kc,sack,8.0
2007,kc,sack,7.5
2008,kc,sack,3.0
2009,kc,sack,8.5
2010,kc,sack,14.5
2011,kc,sack,12.0
2012,kc,sack,9.0
2013,kc,sack,11.0
2014,kc,sack,6.0
2015,kc,sack,6.5
2016,kc,sack,3.5
2017,kc,sack,0.0
2006,kc,ff,5
2007,kc,ff,2
2008,kc,ff,3
2009,kc,ff,4
2010,kc,ff,4
2011,kc,ff,4
2012,kc,ff,1
2013,kc,ff,5
2014,kc,ff,3
2015,kc,ff,2
2016,kc,ff,0
2017,kc,ff,0
2006,kc,fr,1
2007,kc,fr,0
2008,kc,fr,1
2009,kc,fr,0
2010,kc,fr,2
2011,kc,fr,0
2012,kc,fr,0
2013,kc,fr,2
2014,kc,fr,1
2015,kc,fr,0
2016,kc,fr,1
2017,kc,fr,0
2006,kc,yds,0
2007,kc,yds,0
2008,kc,yds,0
2009,kc,yds,0
2010,kc,yds,2
2011,kc,yds,0
2012,kc,yds,0
2013,kc,yds,11
2014,kc,yds,0
2015,kc,yds,0
2016,kc,yds,0
2017,kc,yds,0
2006,kc,int,1
2007,kc,int,0
2008,kc,int,0
2009,kc,int,0
2010,kc,int,0
2011,kc,int,0
2012,kc,int,0
2013,kc,int,1
2014,kc,int,0
2015,kc,int,0
2016,kc,int,0
2017,kc,int,0
2006,kc,pd,4
2007,kc,pd,2
2008,kc,pd,2
2009,kc,pd,1
2010,kc,pd,3
2011,kc,pd,0
2012,kc,pd,2
2013,kc,pd,1
2014,kc,pd,0
2015,kc,pd,0
2016,kc,pd,0
2017,kc,pd,0
