team,season,division,competition,apps,goals
,,division,comp_1,0,0
,,division,comp_2,0,0
,,division,comp_3,0,0
,,division,comp_4,0,0
,,division,comp_5,0,0
rad,2012-13,superliga,comp_1,4,0
rad,2012-13,superliga,comp_2,0,0
rad,2012-13,superliga,comp_3,0,0
rad,2012-13,superliga,comp_4,4,0
rad,2012-13,superliga,comp_5,0,0
rad,2013-14,superliga,comp_1,19,0
rad,2013-14,superliga,comp_2,1,0
rad,2013-14,superliga,comp_3,0,0
rad,2013-14,superliga,comp_4,1,0
rad,2013-14,superliga,comp_5,21,0
rad,2014-15,superliga,comp_1,24,2
rad,2014-15,superliga,comp_2,2,0
rad,2014-15,superliga,comp_3,0,0
rad,2014-15,superliga,comp_4,26,2
rad,2014-15,superliga,comp_5,0,0
rad,2015-16,superliga,comp_1,7,3
rad,2015-16,superliga,comp_2,0,0
rad,2015-16,superliga,comp_3,0,0
rad,2015-16,superliga,comp_4,7,3
rad,2015-16,superliga,comp_5,0,0
rad,total,superliga,comp_1,54,5
rad,total,superliga,comp_2,3,0
rad,total,superliga,comp_3,0,0
rad,total,superliga,comp_4,1,0
rad,total,superliga,comp_5,58,5
partizan,2015-16,superliga,comp_1,14,5
partizan,2015-16,superliga,comp_2,4,2
partizan,2015-16,superliga,comp_3,0,0
partizan,2015-16,superliga,comp_4,18,7
partizan,2015-16,superliga,comp_5,0,0
partizan,2016-17,superliga,comp_1,25,2
partizan,2016-17,superliga,comp_2,3,0
partizan,2016-17,superliga,comp_3,2,0
partizan,2016-17,superliga,comp_4,0,0
partizan,2016-17,superliga,comp_5,31,2
partizan,2017-18,superliga,comp_1,1,1
partizan,2017-18,superliga,comp_2,0,0
partizan,2017-18,superliga,comp_3,2,0
partizan,2017-18,superliga,comp_4,0,0
partizan,2017-18,superliga,comp_5,3,1
partizan,total,superliga,comp_1,40,8
partizan,total,superliga,comp_2,7,2
partizan,total,superliga,comp_3,4,0
partizan,total,superliga,comp_4,0,0
partizan,total,superliga,comp_5,52,10
heerenveen,2017-18,eredivisie,comp_1,9,1
heerenveen,2017-18,eredivisie,comp_2,1,0
heerenveen,2017-18,eredivisie,comp_3,0,0
heerenveen,2017-18,eredivisie,comp_4,10,1
heerenveen,2017-18,eredivisie,comp_5,0,0
