year,team,stat_group,stat_type,value
2004,sd,rushing_passing,att,26.0
2004,sd,rushing_passing,yds,80.0
2004,sd,rushing_passing,td,0.0
2004,sd,rushing_passing,fum,25.0
2004,sd,rushing_passing,avg,3.1
2004,sd,receiving,rec,9.0
2004,sd,receiving,yds,53.0
2004,sd,receiving,td,0.0
2006,sd,rushing_passing,att,23.0
2006,sd,rushing_passing,yds,123.0
2006,sd,rushing_passing,td,2.0
2006,sd,rushing_passing,fum,40.0
2006,sd,rushing_passing,avg,5.3
2006,sd,receiving,rec,2.0
2006,sd,receiving,yds,64.0
2006,sd,receiving,td,0.0
2007,sd,rushing_passing,att,28.0
2007,sd,rushing_passing,yds,75.0
2007,sd,rushing_passing,td,1.0
2007,sd,rushing_passing,fum,50.0
2007,sd,rushing_passing,avg,2.5
2007,sd,receiving,rec,5.0
2007,sd,receiving,yds,40.0
2007,sd,receiving,td,0.0
2008,sd,rushing_passing,att,5.0
2008,sd,rushing_passing,yds,25.0
2008,sd,rushing_passing,td,1.0
2008,sd,rushing_passing,fum,12.0
2008,sd,rushing_passing,avg,5.0
2008,sd,receiving,rec,0.0
2008,sd,receiving,yds,0.0
2008,sd,receiving,td,0.0
2009,sd,rushing_passing,att,12.0
2009,sd,rushing_passing,yds,24.0
2009,sd,rushing_passing,td,0.0
2009,sd,rushing_passing,fum,12.0
2009,sd,rushing_passing,avg,2.0
2009,sd,receiving,rec,3.0
2009,sd,receiving,yds,0.0
2009,sd,receiving,td,0.0
2010,nyj,rushing_passing,att,35.0
2010,nyj,rushing_passing,yds,141.0
2010,nyj,rushing_passing,td,2.0
2010,nyj,rushing_passing,fum,0.0
2010,nyj,rushing_passing,avg,4.0
2010,nyj,receiving,rec,6.0
2010,nyj,receiving,yds,19.0
2010,nyj,receiving,td,1.0
