team,season,division,apps,goals
crystal palace,1998-99,division one,40,5
crystal palace,1998-99,division one,1,0
crystal palace,1998-99,division one,4,0
crystal palace,1998-99,division one,2,0
crystal palace,1999-2000,division one,45,10
crystal palace,1999-2000,division one,1,0
crystal palace,1999-2000,division one,3,1
crystal palace,2000-01,division one,41,1
crystal palace,2000-01,division one,2,0
crystal palace,2000-01,division one,8,0
crystal palace,2001-02,division one,43,0
crystal palace,2001-02,division one,1,0
crystal palace,2001-02,division one,3,0
crystal palace,2002-03,division one,43,2
crystal palace,2002-03,division one,4,0
crystal palace,2002-03,division one,5,1
crystal palace,2003-04,division one,10,0
crystal palace,2003-04,division one,1,0
west ham united,2003-04,division one,27,0
west ham united,2003-04,division one,4,1
west ham united,2003-04,division one,3,0
west ham united,2004-05,championship,37,1
west ham united,2004-05,championship,3,0
west ham united,2004-05,championship,2,0
west ham united,2004-05,championship,3,0
west ham united,2005-06,premier league,35,0
west ham united,2005-06,premier league,6,1
west ham united,2005-06,premier league,1,0
west ham united,2006-07,premier league,30,2
west ham united,2006-07,premier league,1,1
west ham united,2006-07,premier league,1,0
west ham united,2006-07,premier league,0,0
west ham united,2007-08,premier league,34,0
west ham united,2007-08,premier league,1,0
west ham united,2007-08,premier league,4,0
west ham united,2008-09,premier league,17,1
west ham united,2008-09,premier league,2,0
west ham united,2008-09,premier league,2,0
portsmouth,2008-09,premier league,17,0
portsmouth,2008-09,premier league,17,0
portsmouth,2009-10,premier league,18,0
portsmouth,2009-10,premier league,6,0
portsmouth,2009-10,premier league,3,0
portsmouth,2010-11,championship,45,2
portsmouth,2010-11,championship,1,0
portsmouth,2010-11,championship,3,0
portsmouth,2011-12,championship,34,1
portsmouth,2011-12,championship,1,0
portsmouth,2011-12,championship,1,0
reading,2011-12,championship,7,0
reading,2011-12,championship,7,0
birmingham city,2012-13,championship,28,2
birmingham city,2012-13,championship,0,0
birmingham city,2012-13,championship,2,0
birmingham city,2013-14,championship,8,0
birmingham city,2013-14,championship,1,0
birmingham city,2013-14,championship,0,0
notts county,2013-14,league one,16,1
notts county,2013-14,league one,16,1
notts county,2014-15,league one,32,0
notts county,2014-15,league one,1,0
notts county,2014-15,league one,1,0
notts county,2014-15,league one,1,0
