region_cn,region_en,district_cn,district_en,parental_status,statistic_type,value
,,中西區,Central and Western,single_father,median_age,49.4
,,中西區,Central and Western,single_father,avg_dependent_children,1.2
,,中西區,Central and Western,single_father,median_age_dependent_children,10.2
,,中西區,Central and Western,single_mother,median_age,45.7
,,中西區,Central and Western,single_mother,avg_dependent_children,1.3
,,中西區,Central and Western,single_mother,median_age_dependent_children,11.0
,,灣仔,Wan Chai,single_father,median_age,52.6
,,灣仔,Wan Chai,single_father,avg_dependent_children,1.2
,,灣仔,Wan Chai,single_father,median_age_dependent_children,11.0
,,灣仔,Wan Chai,single_mother,median_age,43.4
,,灣仔,Wan Chai,single_mother,avg_dependent_children,1.3
,,灣仔,Wan Chai,single_mother,median_age_dependent_children,10.8
,,東區,Eastern,single_father,median_age,45.4
,,東區,Eastern,single_father,avg_dependent_children,1.3
,,東區,Eastern,single_father,median_age_dependent_children,12.2
,,東區,Eastern,single_mother,median_age,44.4
,,東區,Eastern,single_mother,avg_dependent_children,1.4
,,東區,Eastern,single_mother,median_age_dependent_children,12.1
,,南區,Southern,single_father,median_age,46.4
,,南區,Southern,single_father,avg_dependent_children,1.2
,,南區,Southern,single_father,median_age_dependent_children,11.0
,,南區,Southern,single_mother,median_age,44.5
,,南區,Southern,single_mother,avg_dependent_children,1.4
,,南區,Southern,single_mother,median_age_dependent_children,12.8
,,油尖旺,Yau Tsim Mong,single_father,median_age,43.6
,,油尖旺,Yau Tsim Mong,single_father,avg_dependent_children,1.2
,,油尖旺,Yau Tsim Mong,single_father,median_age_dependent_children,12.1
,,油尖旺,Yau Tsim Mong,single_mother,median_age,41.2
,,油尖旺,Yau Tsim Mong,single_mother,avg_dependent_children,1.3
,,油尖旺,Yau Tsim Mong,single_mother,median_age_dependent_children,8.6
,,深水,Sham Shui Po,single_father,median_age,48.7
,,深水,Sham Shui Po,single_father,avg_dependent_children,1.3
,,深水,Sham Shui Po,single_father,median_age_dependent_children,13.0
,,深水,Sham Shui Po,single_mother,median_age,43.9
,,深水,Sham Shui Po,single_mother,avg_dependent_children,1.3
,,深水,Sham Shui Po,single_mother,median_age_dependent_children,11.4
,,九龍城,Kowloon City,single_father,median_age,46.4
,,九龍城,Kowloon City,single_father,avg_dependent_children,1.2
,,九龍城,Kowloon City,single_father,median_age_dependent_children,12.8
,,九龍城,Kowloon City,single_mother,median_age,43.5
,,九龍城,Kowloon City,single_mother,avg_dependent_children,1.3
,,九龍城,Kowloon City,single_mother,median_age_dependent_children,12.1
,,黃大仙,Wong Tai Sin,single_father,median_age,46.1
,,黃大仙,Wong Tai Sin,single_father,avg_dependent_children,1.2
,,黃大仙,Wong Tai Sin,single_father,median_age_dependent_children,12.5
