year,team,stat_type,stat_name,stat_value
2014,tampa bay buccaneers,rushing,gp,8.0
2014,tampa bay buccaneers,rushing,gs,0.0
2014,tampa bay buccaneers,rushing,att,66.0
2014,tampa bay buccaneers,rushing,yds,185.0
2014,tampa bay buccaneers,rushing,avg,2.8
2014,tampa bay buccaneers,rushing,lng,20.0
2014,tampa bay buccaneers,rushing,td,1.0
2014,tampa bay buccaneers,receiving,rec,19.0
2014,tampa bay buccaneers,receiving,yds,190.0
2014,tampa bay buccaneers,receiving,avg,10.0
2014,tampa bay buccaneers,receiving,lng,24.0
2014,tampa bay buccaneers,receiving,td,0.0
2014,tampa bay buccaneers,fumble,fum,2.0
2014,tampa bay buccaneers,fumble,lost,1.0
2015,tampa bay buccaneers,rushing,gp,16.0
2015,tampa bay buccaneers,rushing,gs,0.0
2015,tampa bay buccaneers,rushing,att,107.0
2015,tampa bay buccaneers,rushing,yds,529.0
2015,tampa bay buccaneers,rushing,avg,4.9
2015,tampa bay buccaneers,rushing,lng,59.0
2015,tampa bay buccaneers,rushing,td,0.0
2015,tampa bay buccaneers,receiving,rec,51.0
2015,tampa bay buccaneers,receiving,yds,561.0
2015,tampa bay buccaneers,receiving,avg,11.0
2015,tampa bay buccaneers,receiving,lng,56.0
2015,tampa bay buccaneers,receiving,td,4.0
2015,tampa bay buccaneers,fumble,fum,2.0
2015,tampa bay buccaneers,fumble,lost,2.0
2016,tampa bay buccaneers,rushing,gp,7.0
2016,tampa bay buccaneers,rushing,gs,2.0
2016,tampa bay buccaneers,rushing,att,51.0
2016,tampa bay buccaneers,rushing,yds,149.0
2016,tampa bay buccaneers,rushing,avg,2.9
2016,tampa bay buccaneers,rushing,lng,23.0
2016,tampa bay buccaneers,rushing,td,1.0
2016,tampa bay buccaneers,receiving,rec,24.0
2016,tampa bay buccaneers,receiving,yds,190.0
2016,tampa bay buccaneers,receiving,avg,7.9
2016,tampa bay buccaneers,receiving,lng,33.0
2016,tampa bay buccaneers,receiving,td,1.0
2016,tampa bay buccaneers,fumble,fum,1.0
2016,tampa bay buccaneers,fumble,lost,1.0
2017,tampa bay buccaneers,rushing,gp,16.0
2017,tampa bay buccaneers,rushing,gs,0.0
2017,tampa bay buccaneers,rushing,att,21.0
2017,tampa bay buccaneers,rushing,yds,95.0
2017,tampa bay buccaneers,rushing,avg,4.5
2017,tampa bay buccaneers,rushing,lng,21.0
2017,tampa bay buccaneers,rushing,td,0.0
2017,tampa bay buccaneers,receiving,rec,35.0
2017,tampa bay buccaneers,receiving,yds,249.0
2017,tampa bay buccaneers,receiving,avg,7.1
2017,tampa bay buccaneers,receiving,lng,25.0
2017,tampa bay buccaneers,receiving,td,1.0
2017,tampa bay buccaneers,fumble,fum,1.0
2017,tampa bay buccaneers,fumble,lost,1.0
