表3.1            ,Unnamed: 1,2011年、2016年及2021年按種族劃分的少數族裔人士數目,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,索引 Index
Table 3.1      ,nan,"Ethnic minorities by ethnicity, 2011, 2016 and 2021",nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,2011,nan,2016,nan,2021,nan,nan
"種族
Ethnicity",nan,nan,"數目
Number","百分比
%","數目
Number","百分比
%","數目
Number","百分比
%",nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
亞洲人（非華人）,nan,nan,365611,81,457188,78.2,487862,78.7,nan
Asian (other than Chinese),nan,nan,nan,nan,nan,nan,nan,nan,nan
菲律賓人,nan,nan,133018,29.5,184081,31.5,201291,32.5,nan
Filipino,nan,nan,nan,nan,nan,nan,nan,nan,nan
印尼人,nan,nan,133377,29.6,153299,26.2,142065,22.9,nan
Indonesian,nan,nan,nan,nan,nan,nan,nan,nan,nan
南亞裔人士,nan,nan,65521,14.5,84875,14.5,101969,16.5,nan
South Asian,nan,nan,nan,nan,nan,nan,nan,nan,nan
印度人,nan,nan,28616,6.3,36462,6.2,42569,6.9,nan
Indian,nan,nan,nan,nan,nan,nan,nan,nan,nan
尼泊爾人,nan,nan,16518,3.7,25472,4.4,29701,4.8,nan
Nepalese,nan,nan,nan,nan,nan,nan,nan,nan,nan
巴基斯坦人,nan,nan,18042,4,18094,3.1,24385,3.9,nan
Pakistani,nan,nan,nan,nan,nan,nan,nan,nan,nan
其他南亞裔人士[1],nan,nan,2345,0.5,4847,0.8,5314,0.9,nan
Other South Asian[1],nan,nan,nan,nan,nan,nan,nan,nan,nan
泰國人,nan,nan,11213,2.5,10215,1.7,12972,2.1,nan
Thai,nan,nan,nan,nan,nan,nan,nan,nan,nan
日本人,nan,nan,12580,2.8,9976,1.7,10291,1.7,nan
Japanese,nan,nan,nan,nan,nan,nan,nan,nan,nan
韓國人,nan,nan,5209,1.2,6309,1.1,8700,1.4,nan
Korean,nan,nan,nan,nan,nan,nan,nan,nan,nan
其他亞洲人,nan,nan,4693,1,8433,1.4,10574,1.7,nan
Other Asian,nan,nan,nan,nan,nan,nan,nan,nan,nan
白人,nan,nan,55236,12.2,58209,10,61582,9.9,nan
White,nan,nan,nan,nan,nan,nan,nan,nan,nan
混血兒,nan,nan,29001,6.4,65255,11.2,66732,10.8,nan
Mixed,nan,nan,nan,nan,nan,nan,nan,nan,nan
華人父或母,nan,nan,24649,5.5,53581,9.2,54541,8.8,nan
With Chinese parent,nan,nan,nan,nan,nan,nan,nan,nan,nan
其他混血兒,nan,nan,4352,1,11674,2,12191,2,nan
Other mixed,nan,nan,nan,nan,nan,nan,nan,nan,nan
其他[2],nan,nan,1335,0.3,3731,0.6,3392,0.5,nan
Others[2],nan,nan,nan,nan,nan,nan,nan,nan,nan
所有少數族裔人士[3],nan,nan,451183,100,584383,100,619568,100,nan
All ethnic minorities[3],nan,nan,0.064,nan,0.08,nan,0.084,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
撇除外籍家庭傭工後的所有少數族裔人士[3],nan,nan,197022,nan,263593,nan,301344,nan,nan
"All ethnic minorities, excluding foreign domestic helpers[3]",nan,nan,0.028,nan,0.036,nan,0.041,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
全港人口,nan,nan,7071576,nan,7336585,nan,7413070,nan,nan
Whole population,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
註釋：,nan,nan,nan,nan,nan,nan,nan,nan,nan
[1],「其他南亞裔人士」包括「孟加拉人」及「斯里蘭卡人」。,nan,nan,nan,nan,nan,nan,nan,nan
[2],數字包括「黑人」、「拉丁美洲人」等。,nan,nan,nan,nan,nan,nan,nan,nan
[3],括數內的數字顯示在全港人口中所佔比例。,nan,nan,nan,nan,nan,nan,nan,nan
Notes:,nan,nan,nan,nan,nan,nan,nan,nan,nan
[1],“Other South Asian” include “Bangladeshi” and “Sri-Lankan”.,nan,nan,nan,nan,nan,nan,nan,nan
[2],"Figures include “Black”, “Latin American”, etc.",nan,nan,nan,nan,nan,nan,nan,nan
[3],Figures in brackets represent the percentages in respect of the whole population.,nan,nan,nan,nan,nan,nan,nan,nan
